Player,GS Efficiency,Creativity Eff,D&B Eff,Defending Ef,Nation,Pos,Squad,Age,Born,90sâ¼,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Passing Cmp,Passing Att,Passing Cmp%,Passing TotDist,Passing PrgDist,Short Passing Cmp,Short Passing Att,Short Passing Cmp%,Medium Passing Cmp,Medium Passing Att,Medium Passing Cmp%,Long Passing Cmp,Long Passing Att,Long Passing Cmp%,Assists,xA,A-xA,KP,Final Third Passes,PPA,CrsPA,Prog,Live Passes,Dead Passes,FK Passes,TB Passes,Press Passes,Sw Passes,Crs Passes,CK Passes,CK Inswinging,CK Outswinging,CK Straight,Ground Passes,Low Passes,High Passes,Left Footed Passes,Right Footed Passes,Head Passes,Throw in Passes,Other Passes,Offside Passes,Out Passes,Intercepted Passes,Blocked Passes,SCA,SCA90,SCA PassLive,SCA PassDead,SCA Drib,SCA Sh,SCA Fld,SCA Def,GCA,GCA90,GCA PassLive,GCA PassDead,GCA Drib,GCA Sh,GCA Fld,GCA Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,vs Dribble TklW,vs Dribble Tkl Att,vs Dribble Tkl%,vs Dribble Past,Pressures Total,Pressures Succ,Pressures Succesful%,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks,Blocked Shots,Blcoked SOT,Blocked Pass,Int,Blocks and Interceptions,Tkl+Int,Clearances,Mistake To Goal,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Megs,Carries,Carry TotDist,Carry PrgDist,Carry Prog,Carries Final Third,Carry into box,Miscontrol,Displaced,Receiving Pass Target,Receiving Pass Rec,Rec%,Proggresive Passes Received,CrdY,CrdR,2CrdY,Fls,Fld,Offsides,Crosses Attempted,PKwon,PKcon,OG,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Minutes Played
Axel Tuanzebe,None,None,0.384480344,0.89788995,eng ENG,CB,Manchester Utd,22.00,1997.00,4.50,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,236.00,263.00,89.70,4763.00,1047.00,76.00,81.00,93.80,123.00,132.00,93.20,35.00,43.00,81.40,0.00,0.00,0.00,0.00,9.00,0.00,0.00,10.00,253.00,10.00,4.00,0.00,23.00,7.00,0.00,0.00,0.00,0.00,0.00,218.00,25.00,20.00,31.00,213.00,11.00,6.00,1.00,1.00,4.00,7.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,5.00,4.00,1.00,6.00,8.00,75.00,2.00,58.00,16.00,27.60,36.00,19.00,3.00,14.00,7.00,0.00,7.00,4.00,18.00,14.00,19.00,1.00,316.00,52.00,170.00,143.00,18.00,0.00,306.00,0.00,2.00,0.00,0.00,0.00,192.00,1069.00,472.00,21.00,2.00,0.00,3.00,1.00,210.00,207.00,98.60,1.00,2.00,0.00,0.00,7.00,3.00,0.00,0.00,0.00,0.00,1.00,45.00,6.00,7.00,46.20,404.00
Joe Rodon,None,None,0.191257812,0.78414333,wls WAL,CB,Tottenham,22.00,1997.00,8.10,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,365.00,411.00,88.80,7783.00,1857.00,101.00,110.00,91.80,206.00,219.00,94.10,56.00,78.00,71.80,0.00,0.00,0.00,0.00,9.00,0.00,0.00,10.00,405.00,6.00,6.00,0.00,33.00,3.00,0.00,0.00,0.00,0.00,0.00,327.00,31.00,53.00,25.00,349.00,25.00,0.00,1.00,0.00,7.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,9.00,12.00,3.00,0.00,4.00,5.00,80.00,1.00,78.00,20.00,25.60,55.00,20.00,3.00,15.00,9.00,0.00,6.00,13.00,28.00,28.00,51.00,1.00,500.00,87.00,301.00,217.00,4.00,1.00,495.00,0.00,0.00,,0.00,0.00,286.00,1194.00,426.00,5.00,0.00,0.00,2.00,0.00,330.00,324.00,98.20,0.00,0.00,0.00,0.00,3.00,9.00,1.00,0.00,0.00,0.00,0.00,73.00,24.00,11.00,68.60,733.00
Kortney Hause,0.644105,None,0.196931228,0.74709949,eng ENG,CB,Aston Villa,25.00,1995.00,7.00,1.00,5.00,1.00,20.00,0.71,0.14,0.20,1.00,7.40,0.00,0.00,0.00,1.20,1.20,0.24,-0.20,-0.20,169.00,216.00,78.20,3950.00,1252.00,39.00,47.00,83.00,91.00,103.00,88.30,37.00,62.00,59.70,0.00,0.00,0.00,0.00,11.00,0.00,0.00,10.00,205.00,11.00,11.00,0.00,33.00,9.00,2.00,0.00,0.00,0.00,0.00,126.00,24.00,66.00,149.00,26.00,21.00,0.00,0.00,0.00,5.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,3.00,2.00,0.00,0.00,1.00,0.00,1.00,39.00,14.00,35.90,24.00,14.00,1.00,6.00,4.00,0.00,2.00,12.00,18.00,17.00,65.00,0.00,307.00,63.00,183.00,125.00,14.00,11.00,297.00,0.00,1.00,0.00,0.00,0.00,135.00,812.00,377.00,7.00,1.00,0.00,2.00,0.00,149.00,140.00,94.00,1.00,2.00,0.00,0.00,8.00,4.00,0.00,2.00,0.00,0.00,0.00,71.00,47.00,14.00,77.00,630.00
Matt Ritchie,0.7431385,1.0000003,0.776434,0.72312745,sct SCO,DF,Newcastle Utd,30.00,1989.00,15.00,0.00,11.00,1.00,9.10,0.73,0.07,0.00,0.00,22.20,2.00,0.00,0.00,0.40,0.40,0.04,-0.40,-0.40,411.00,607.00,67.70,7978.00,3480.00,184.00,210.00,87.60,149.00,195.00,76.40,69.00,178.00,38.80,2.00,1.50,0.50,24.00,27.00,18.00,13.00,37.00,473.00,134.00,32.00,0.00,95.00,35.00,59.00,37.00,24.00,13.00,0.00,289.00,115.00,203.00,415.00,86.00,28.00,65.00,3.00,3.00,18.00,14.00,26.00,40.00,2.67,19.00,16.00,0.00,1.00,2.00,2.00,4.00,0.27,1.00,1.00,0.00,0.00,1.00,1.00,17.00,9.00,7.00,5.00,5.00,5.00,21.00,23.80,16.00,152.00,32.00,21.10,71.00,53.00,28.00,31.00,2.00,0.00,29.00,23.00,54.00,40.00,43.00,0.00,754.00,50.00,226.00,298.00,272.00,13.00,624.00,6.00,8.00,75.00,6.00,0.00,376.00,2068.00,1156.00,51.00,25.00,1.00,8.00,9.00,443.00,391.00,88.30,14.00,2.00,0.00,0.00,14.00,20.00,1.00,59.00,1.00,0.00,1.00,103.00,15.00,21.00,41.70,1350.00
Calum Chambers,0.582334,0.9999998,1,0.89217266,eng ENG,CB,Arsenal,25.00,1995.00,8.40,0.00,8.00,0.00,0.00,0.96,0.00,0.00,,15.50,0.00,0.00,0.00,0.60,0.60,0.07,-0.60,-0.60,462.00,575.00,80.30,8301.00,2388.00,206.00,231.00,89.20,204.00,241.00,84.60,47.00,85.00,55.30,2.00,1.10,0.90,11.00,24.00,9.00,5.00,23.00,488.00,87.00,8.00,1.00,58.00,8.00,27.00,0.00,0.00,0.00,0.00,366.00,105.00,104.00,28.00,427.00,30.00,79.00,0.00,1.00,6.00,10.00,17.00,16.00,1.91,15.00,0.00,0.00,1.00,0.00,0.00,2.00,0.24,2.00,0.00,0.00,0.00,0.00,0.00,9.00,3.00,4.00,3.00,2.00,3.00,10.00,30.00,7.00,95.00,28.00,29.50,50.00,30.00,15.00,16.00,3.00,0.00,13.00,14.00,30.00,23.00,45.00,0.00,678.00,43.00,250.00,276.00,191.00,23.00,592.00,3.00,8.00,37.50,3.00,2.00,391.00,1579.00,963.00,33.00,15.00,1.00,6.00,5.00,437.00,405.00,92.70,21.00,0.00,0.00,0.00,9.00,2.00,0.00,27.00,0.00,0.00,0.00,94.00,23.00,17.00,57.50,753.00
JoÃ«l Matip,1,0.990635,0.700682112,0.82128382,cm CMR,CB,Liverpool,28.00,1991.00,7.70,1.00,5.00,2.00,40.00,0.65,0.26,0.20,0.50,6.80,0.00,0.00,0.00,0.60,0.60,0.13,0.40,0.40,466.00,527.00,88.40,10052.00,2584.00,127.00,136.00,93.40,256.00,271.00,94.50,80.00,114.00,70.20,2.00,1.00,1.00,2.00,30.00,1.00,0.00,15.00,518.00,9.00,9.00,1.00,41.00,7.00,0.00,0.00,0.00,0.00,0.00,411.00,50.00,66.00,73.00,416.00,23.00,0.00,0.00,0.00,4.00,8.00,5.00,6.00,0.78,5.00,0.00,0.00,1.00,0.00,0.00,2.00,0.26,1.00,0.00,0.00,1.00,0.00,0.00,15.00,11.00,11.00,4.00,0.00,5.00,8.00,62.50,3.00,58.00,24.00,41.40,35.00,20.00,3.00,7.00,0.00,0.00,7.00,4.00,11.00,19.00,28.00,0.00,583.00,51.00,268.00,335.00,24.00,6.00,575.00,0.00,0.00,,0.00,0.00,353.00,2008.00,1296.00,38.00,12.00,0.00,0.00,2.00,431.00,422.00,97.90,0.00,2.00,0.00,0.00,10.00,6.00,0.00,0.00,0.00,0.00,0.00,82.00,24.00,11.00,68.60,691.00
CÃ©sar Azpilicueta,0.6316124,0.9095599,0.695020524,0.84918242,es ESP,DF,Chelsea,30.00,1989.00,24.30,1.00,11.00,4.00,36.40,0.45,0.16,0.09,0.25,16.10,0.00,0.00,0.00,0.80,0.80,0.07,0.20,0.20,1763.00,2015.00,87.50,30771.00,11059.00,750.00,804.00,93.30,873.00,953.00,91.60,119.00,201.00,59.20,2.00,2.60,-0.60,26.00,130.00,25.00,5.00,116.00,1830.00,185.00,35.00,4.00,128.00,12.00,29.00,0.00,0.00,0.00,0.00,1500.00,265.00,250.00,165.00,1585.00,77.00,150.00,7.00,4.00,18.00,37.00,39.00,42.00,1.73,40.00,1.00,0.00,0.00,0.00,1.00,4.00,0.16,4.00,0.00,0.00,0.00,0.00,0.00,52.00,31.00,23.00,23.00,6.00,21.00,35.00,60.00,14.00,346.00,106.00,30.60,153.00,141.00,52.00,37.00,7.00,0.00,30.00,37.00,74.00,89.00,97.00,1.00,2269.00,136.00,824.00,1076.00,465.00,38.00,2088.00,5.00,10.00,50.00,5.00,0.00,1331.00,5749.00,3612.00,114.00,37.00,1.00,8.00,13.00,1656.00,1582.00,95.50,36.00,5.00,1.00,0.00,33.00,16.00,5.00,29.00,0.00,0.00,0.00,243.00,58.00,48.00,54.70,2188.00
Fabian SchÃ¤r,0.68437,0.722278,0.389306984,0.76647495,ch SUI,CB,Newcastle Utd,28.00,1991.00,13.80,1.00,10.00,4.00,40.00,0.72,0.29,0.00,0.00,28.40,3.00,1.00,1.00,1.20,0.40,0.04,-0.20,-0.40,453.00,583.00,77.70,10909.00,4622.00,133.00,148.00,89.90,199.00,227.00,87.70,120.00,203.00,59.10,0.00,0.00,0.00,1.00,40.00,12.00,0.00,39.00,529.00,54.00,30.00,2.00,65.00,31.00,3.00,0.00,0.00,0.00,0.00,347.00,64.00,172.00,82.00,442.00,25.00,24.00,0.00,4.00,12.00,12.00,6.00,9.00,0.65,7.00,0.00,0.00,0.00,1.00,1.00,1.00,0.07,1.00,0.00,0.00,0.00,0.00,0.00,19.00,9.00,14.00,5.00,0.00,7.00,22.00,31.80,15.00,110.00,33.00,30.00,65.00,41.00,4.00,24.00,13.00,0.00,11.00,22.00,46.00,41.00,63.00,1.00,737.00,100.00,424.00,312.00,63.00,11.00,684.00,7.00,13.00,53.80,7.00,1.00,443.00,2470.00,1474.00,34.00,7.00,0.00,4.00,6.00,441.00,421.00,95.50,1.00,4.00,1.00,0.00,22.00,15.00,1.00,3.00,0.00,0.00,0.00,123.00,20.00,25.00,44.40,1246.00
Jack Robinson,1,0.7024769,1,0.74119728,eng ENG,CB,Sheffield Utd,26.00,1993.00,9.70,0.00,5.00,0.00,0.00,0.51,0.00,0.00,,12.50,0.00,0.00,0.00,0.40,0.40,0.08,-0.40,-0.40,354.00,439.00,80.60,6743.00,2333.00,144.00,157.00,91.70,154.00,180.00,85.60,51.00,89.00,57.30,1.00,0.90,0.10,1.00,24.00,1.00,0.00,20.00,396.00,43.00,5.00,0.00,48.00,4.00,11.00,0.00,0.00,0.00,0.00,304.00,39.00,96.00,308.00,52.00,25.00,38.00,1.00,0.00,3.00,3.00,7.00,6.00,0.62,3.00,0.00,1.00,1.00,1.00,0.00,4.00,0.41,2.00,0.00,1.00,0.00,1.00,0.00,16.00,10.00,10.00,5.00,1.00,6.00,7.00,85.70,1.00,79.00,25.00,31.60,40.00,28.00,11.00,12.00,5.00,0.00,7.00,17.00,29.00,33.00,60.00,0.00,553.00,58.00,227.00,267.00,88.00,7.00,512.00,3.00,4.00,75.00,4.00,2.00,300.00,1338.00,577.00,20.00,8.00,0.00,3.00,4.00,314.00,305.00,97.10,7.00,3.00,0.00,0.00,11.00,7.00,0.00,11.00,1.00,1.00,0.00,91.00,28.00,24.00,53.80,877.00
Ethan Ampadu,0.161863,0.5744051,0.53944051,0.84348014,wls WAL,CB,Sheffield Utd,19.00,2000.00,23.20,0.00,7.00,2.00,28.60,0.30,0.09,0.00,0.00,17.20,0.00,0.00,0.00,0.30,0.30,0.05,-0.30,-0.30,857.00,1064.00,80.50,17276.00,5506.00,306.00,353.00,86.70,405.00,470.00,86.20,134.00,211.00,63.50,0.00,0.90,-0.90,10.00,69.00,16.00,2.00,84.00,979.00,85.00,19.00,3.00,121.00,42.00,11.00,5.00,5.00,0.00,0.00,710.00,122.00,232.00,174.00,722.00,65.00,61.00,4.00,1.00,27.00,15.00,19.00,15.00,0.65,13.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,36.00,31.00,26.00,5.00,21.00,49.00,42.90,28.00,359.00,101.00,28.10,180.00,138.00,41.00,48.00,20.00,0.00,28.00,39.00,87.00,101.00,120.00,2.00,1354.00,150.00,542.00,684.00,224.00,9.00,1273.00,9.00,13.00,69.20,10.00,0.00,723.00,4578.00,2737.00,98.00,35.00,0.00,14.00,7.00,795.00,764.00,96.10,9.00,3.00,0.00,0.00,41.00,27.00,1.00,11.00,0.00,1.00,1.00,220.00,66.00,30.00,68.80,2089.00
Dan Burn,0.577798,0.5458275,0.70645225,0.79436867,eng ENG,CB,Brighton,28.00,1992.00,22.90,1.00,16.00,6.00,37.50,0.70,0.26,0.06,0.17,14.20,0.00,0.00,0.00,1.50,1.50,0.10,-0.50,-0.50,952.00,1242.00,76.70,16883.00,5286.00,399.00,488.00,81.80,477.00,572.00,83.40,66.00,142.00,46.50,0.00,1.00,-1.00,9.00,73.00,15.00,5.00,77.00,1092.00,150.00,11.00,0.00,173.00,20.00,32.00,1.00,1.00,0.00,0.00,748.00,212.00,282.00,822.00,122.00,85.00,138.00,4.00,4.00,36.00,30.00,33.00,20.00,0.87,19.00,0.00,0.00,1.00,0.00,0.00,1.00,0.04,0.00,0.00,0.00,1.00,0.00,0.00,47.00,22.00,31.00,13.00,3.00,21.00,54.00,38.90,33.00,310.00,103.00,33.20,146.00,114.00,50.00,39.00,7.00,1.00,32.00,37.00,76.00,84.00,95.00,0.00,1516.00,115.00,491.00,732.00,378.00,43.00,1369.00,17.00,22.00,77.30,18.00,0.00,845.00,4343.00,2392.00,78.00,25.00,2.00,23.00,14.00,1036.00,920.00,88.80,43.00,5.00,0.00,0.00,43.00,7.00,4.00,32.00,0.00,1.00,1.00,195.00,99.00,41.00,70.70,2061.00
Jack Stephens,0.219997,0.5367462,0.515579288,0.88814688,eng ENG,CB,Southampton,26.00,1994.00,17.10,0.00,6.00,2.00,33.30,0.35,0.12,0.00,0.00,8.20,0.00,0.00,0.00,0.70,0.70,0.12,-0.70,-0.70,845.00,1016.00,83.20,17222.00,6271.00,280.00,317.00,88.30,439.00,490.00,89.60,117.00,187.00,62.60,0.00,0.50,-0.50,8.00,67.00,11.00,0.00,60.00,959.00,57.00,20.00,3.00,146.00,18.00,0.00,0.00,0.00,0.00,0.00,741.00,66.00,209.00,85.00,832.00,51.00,37.00,0.00,1.00,13.00,19.00,10.00,18.00,1.05,17.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,19.00,22.00,14.00,1.00,17.00,38.00,44.70,21.00,169.00,58.00,34.30,95.00,65.00,9.00,41.00,13.00,0.00,28.00,25.00,66.00,62.00,84.00,1.00,1217.00,120.00,580.00,661.00,69.00,11.00,1161.00,3.00,4.00,75.00,3.00,0.00,701.00,4264.00,2408.00,63.00,12.00,0.00,5.00,8.00,811.00,792.00,97.70,1.00,2.00,0.00,0.00,10.00,9.00,0.00,0.00,0.00,0.00,0.00,175.00,26.00,18.00,59.10,1537.00
Benjamin White,0.2061227,0.4700347,0.579690739,0.74985384,eng ENG,CB,Brighton,22.00,1997.00,35.50,0.00,10.00,0.00,0.00,0.28,0.00,0.00,,16.50,0.00,0.00,0.00,0.70,0.70,0.07,-0.70,-0.70,1470.00,1766.00,83.20,30785.00,9425.00,487.00,540.00,90.20,729.00,816.00,89.30,241.00,375.00,64.30,0.00,0.70,-0.70,8.00,111.00,20.00,2.00,116.00,1688.00,78.00,33.00,3.00,157.00,43.00,19.00,0.00,0.00,0.00,0.00,1296.00,157.00,313.00,147.00,1462.00,72.00,45.00,7.00,3.00,39.00,30.00,24.00,26.00,0.73,22.00,0.00,1.00,0.00,1.00,2.00,3.00,0.08,3.00,0.00,0.00,0.00,0.00,0.00,56.00,33.00,28.00,24.00,4.00,24.00,64.00,37.50,40.00,409.00,142.00,34.70,184.00,188.00,37.00,69.00,25.00,0.00,44.00,45.00,114.00,101.00,78.00,2.00,2064.00,201.00,939.00,999.00,270.00,28.00,1990.00,24.00,41.00,58.50,31.00,0.00,1376.00,7068.00,3793.00,108.00,37.00,1.00,11.00,15.00,1465.00,1403.00,95.80,18.00,5.00,1.00,1.00,39.00,14.00,1.00,19.00,0.00,0.00,0.00,302.00,52.00,46.00,53.10,3191.00
Japhet Tanganga,-2.00E-06,0.462001,0.26315035,0.7881911,eng ENG,DF,Tottenham,21.00,1999.00,5.40,0.00,2.00,0.00,0.00,0.37,0.00,0.00,,5.50,0.00,0.00,0.00,0.20,0.20,0.10,-0.20,-0.20,193.00,229.00,84.30,2898.00,1163.00,108.00,120.00,90.00,72.00,81.00,88.90,7.00,17.00,41.20,0.00,0.00,0.00,0.00,6.00,3.00,1.00,12.00,191.00,38.00,4.00,0.00,30.00,4.00,4.00,0.00,0.00,0.00,0.00,133.00,63.00,33.00,14.00,161.00,15.00,34.00,1.00,0.00,1.00,3.00,5.00,1.00,0.18,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,0.00,0.00,1.00,3.00,33.30,2.00,76.00,22.00,28.90,40.00,24.00,12.00,9.00,4.00,0.00,5.00,2.00,11.00,6.00,19.00,0.00,272.00,23.00,104.00,124.00,59.00,3.00,235.00,12.00,14.00,85.70,12.00,1.00,155.00,617.00,350.00,10.00,3.00,0.00,0.00,4.00,170.00,150.00,88.20,2.00,2.00,0.00,0.00,12.00,8.00,0.00,4.00,0.00,0.00,0.00,50.00,11.00,9.00,55.00,487.00
Chris Basham,0.1341077,0.4367023,0.9052955,0.8323334,eng ENG,CB,Sheffield Utd,32.00,1988.00,28.60,0.00,10.00,1.00,10.00,0.35,0.03,0.00,0.00,13.10,0.00,0.00,0.00,0.80,0.80,0.08,-0.80,-0.80,900.00,1105.00,81.40,16284.00,4713.00,404.00,451.00,89.60,377.00,444.00,84.90,105.00,169.00,62.10,1.00,0.80,0.20,10.00,54.00,15.00,7.00,62.00,1040.00,65.00,14.00,1.00,116.00,14.00,24.00,0.00,0.00,0.00,0.00,764.00,136.00,205.00,134.00,790.00,82.00,51.00,5.00,2.00,26.00,15.00,23.00,22.00,0.77,18.00,0.00,2.00,0.00,2.00,0.00,1.00,0.03,1.00,0.00,0.00,0.00,0.00,0.00,76.00,46.00,48.00,22.00,6.00,37.00,70.00,52.90,33.00,383.00,115.00,30.00,201.00,137.00,45.00,49.00,15.00,5.00,34.00,45.00,94.00,121.00,124.00,1.00,1454.00,180.00,603.00,634.00,317.00,44.00,1390.00,19.00,28.00,67.90,22.00,1.00,823.00,4896.00,3206.00,106.00,29.00,2.00,14.00,26.00,854.00,774.00,90.60,39.00,5.00,0.00,0.00,32.00,31.00,6.00,24.00,1.00,1.00,0.00,295.00,77.00,63.00,55.00,2576.00
