Player,GS Efficiency,Creativity Eff,D&B Eff,Defending Ef,Nation,Pos,Squad,Age,Born,90sâ¼,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Passing Cmp,Passing Att,Passing Cmp%,Passing TotDist,Passing PrgDist,Short Passing Cmp,Short Passing Att,Short Passing Cmp%,Medium Passing Cmp,Medium Passing Att,Medium Passing Cmp%,Long Passing Cmp,Long Passing Att,Long Passing Cmp%,Assists,xA,A-xA,KP,Final Third Passes,PPA,CrsPA,Prog,Live Passes,Dead Passes,FK Passes,TB Passes,Press Passes,Sw Passes,Crs Passes,CK Passes,CK Inswinging,CK Outswinging,CK Straight,Ground Passes,Low Passes,High Passes,Left Footed Passes,Right Footed Passes,Head Passes,Throw in Passes,Other Passes,Offside Passes,Out Passes,Intercepted Passes,Blocked Passes,SCA,SCA90,SCA PassLive,SCA PassDead,SCA Drib,SCA Sh,SCA Fld,SCA Def,GCA,GCA90,GCA PassLive,GCA PassDead,GCA Drib,GCA Sh,GCA Fld,GCA Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,vs Dribble TklW,vs Dribble Tkl Att,vs Dribble Tkl%,vs Dribble Past,Pressures Total,Pressures Succ,Pressures Succesful%,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks,Blocked Shots,Blcoked SOT,Blocked Pass,Int,Blocks and Interceptions,Tkl+Int,Clearances,Mistake To Goal,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Megs,Carries,Carry TotDist,Carry PrgDist,Carry Prog,Carries Final Third,Carry into box,Miscontrol,Displaced,Receiving Pass Target,Receiving Pass Rec,Rec%,Proggresive Passes Received,CrdY,CrdR,2CrdY,Fls,Fld,Offsides,Crosses Attempted,PKwon,PKcon,OG,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Minutes Played
David Luiz,0.39283,0.4297828,1,0.57912905,br BRA,CB,Arsenal,33.00,1987.00,15.50,1.00,15.00,2.00,13.30,0.97,0.13,0.07,0.50,17.50,3.00,0.00,0.00,0.90,0.90,0.06,0.10,0.10,807.00,965.00,83.60,18737.00,5266.00,176.00,193.00,91.20,442.00,474.00,93.20,183.00,279.00,65.60,0.00,0.40,-0.40,2.00,66.00,8.00,0.00,61.00,932.00,33.00,31.00,2.00,91.00,27.00,7.00,0.00,0.00,0.00,0.00,709.00,86.00,170.00,157.00,753.00,36.00,2.00,6.00,3.00,19.00,14.00,16.00,10.00,0.64,8.00,0.00,1.00,0.00,0.00,1.00,1.00,0.06,1.00,0.00,0.00,0.00,0.00,0.00,15.00,9.00,7.00,8.00,0.00,5.00,7.00,71.40,2.00,95.00,37.00,38.90,51.00,39.00,5.00,23.00,11.00,0.00,12.00,12.00,35.00,27.00,67.00,0.00,1100.00,152.00,585.00,553.00,65.00,19.00,1067.00,2.00,4.00,50.00,2.00,0.00,738.00,5310.00,3380.00,80.00,19.00,2.00,2.00,1.00,841.00,824.00,98.00,1.00,1.00,1.00,0.00,16.00,7.00,1.00,7.00,0.00,0.00,0.00,115.00,30.00,12.00,71.40,1396.00
Rhys Williams,0.33169,0.414244,0.273328434,0.68741072,eng ENG,CB,Liverpool,19.00,2001.00,7.30,0.00,7.00,0.00,0.00,0.95,0.00,0.00,,8.90,0.00,0.00,0.00,0.50,0.50,0.08,-0.50,-0.50,415.00,451.00,92.00,9374.00,2316.00,91.00,100.00,91.00,228.00,239.00,95.40,93.00,107.00,86.90,0.00,0.40,-0.40,2.00,21.00,1.00,0.00,13.00,444.00,7.00,7.00,1.00,35.00,9.00,0.00,0.00,0.00,0.00,0.00,369.00,32.00,50.00,30.00,380.00,32.00,0.00,0.00,0.00,3.00,7.00,2.00,5.00,0.68,4.00,0.00,0.00,1.00,0.00,0.00,1.00,0.14,0.00,0.00,0.00,1.00,0.00,0.00,6.00,2.00,2.00,4.00,0.00,1.00,2.00,50.00,1.00,54.00,15.00,27.80,29.00,21.00,4.00,5.00,4.00,0.00,1.00,8.00,13.00,14.00,67.00,1.00,543.00,69.00,273.00,271.00,18.00,9.00,536.00,1.00,1.00,100.00,1.00,0.00,329.00,1398.00,549.00,14.00,2.00,0.00,0.00,0.00,373.00,366.00,98.10,2.00,0.00,0.00,0.00,4.00,3.00,0.00,0.00,0.00,0.00,0.00,76.00,32.00,7.00,82.10,661.00
Mason Holgate,0.2217885,0.3935154,0.417874608,0.7862382,eng ENG,CB,Everton,23.00,1996.00,25.40,1.00,5.00,3.00,60.00,0.20,0.12,0.20,0.33,11.70,0.00,0.00,0.00,0.80,0.80,0.16,0.20,0.20,945.00,1200.00,78.80,21912.00,7615.00,246.00,282.00,87.20,485.00,564.00,86.00,210.00,335.00,62.70,0.00,0.60,-0.60,9.00,59.00,12.00,4.00,67.00,1050.00,150.00,29.00,1.00,121.00,41.00,27.00,0.00,0.00,0.00,0.00,764.00,139.00,297.00,174.00,825.00,58.00,121.00,2.00,2.00,31.00,34.00,19.00,21.00,0.83,15.00,2.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,38.00,38.00,20.00,7.00,22.00,55.00,40.00,33.00,316.00,97.00,30.70,162.00,115.00,39.00,55.00,13.00,0.00,42.00,41.00,96.00,106.00,110.00,3.00,1485.00,176.00,746.00,654.00,164.00,8.00,1339.00,7.00,11.00,63.60,8.00,0.00,802.00,4017.00,2473.00,49.00,8.00,1.00,11.00,9.00,893.00,854.00,95.60,14.00,9.00,0.00,0.00,31.00,31.00,1.00,27.00,0.00,0.00,0.00,201.00,42.00,23.00,64.60,2287.00
Aymeric Laporte,0.257053,0.3565294,1.000000598,0.6313794,es ESP,CB,Manchester City,26.00,1994.00,14.90,0.00,6.00,1.00,16.70,0.40,0.07,0.00,0.00,11.40,0.00,0.00,0.00,0.80,0.80,0.13,-0.80,-0.80,1160.00,1261.00,92.00,24147.00,6963.00,353.00,372.00,94.90,624.00,651.00,95.90,179.00,224.00,79.90,0.00,0.70,-0.70,4.00,108.00,5.00,0.00,72.00,1229.00,32.00,24.00,0.00,95.00,26.00,0.00,0.00,0.00,0.00,0.00,1097.00,64.00,100.00,941.00,251.00,30.00,8.00,6.00,1.00,15.00,10.00,11.00,9.00,0.60,9.00,0.00,0.00,0.00,0.00,0.00,1.00,0.07,1.00,0.00,0.00,0.00,0.00,0.00,13.00,6.00,10.00,3.00,0.00,3.00,9.00,33.30,6.00,81.00,24.00,29.60,48.00,27.00,6.00,18.00,8.00,0.00,10.00,8.00,26.00,21.00,53.00,1.00,1365.00,110.00,530.00,887.00,69.00,9.00,1336.00,3.00,3.00,100.00,3.00,0.00,1013.00,6153.00,4084.00,140.00,21.00,0.00,3.00,2.00,1109.00,1093.00,98.60,2.00,1.00,0.00,0.00,9.00,11.00,2.00,0.00,0.00,1.00,0.00,139.00,46.00,18.00,71.90,1344.00
Harry Maguire,0.8467729,0.3433527,0.94667661,0.86999154,eng ENG,CB,Manchester Utd,27.00,1993.00,33.90,2.00,36.00,9.00,25.00,1.06,0.27,0.06,0.22,11.10,0.00,0.00,0.00,2.10,2.10,0.06,-0.10,-0.10,1904.00,2139.00,89.00,42647.00,12352.00,484.00,532.00,91.00,1024.00,1097.00,93.30,382.00,483.00,79.10,1.00,0.30,0.70,7.00,194.00,8.00,1.00,104.00,2075.00,64.00,53.00,1.00,228.00,73.00,4.00,0.00,0.00,0.00,0.00,1628.00,165.00,346.00,294.00,1645.00,112.00,11.00,11.00,7.00,28.00,32.00,11.00,31.00,0.92,23.00,0.00,1.00,4.00,1.00,2.00,6.00,0.18,4.00,0.00,0.00,1.00,0.00,1.00,30.00,18.00,20.00,10.00,0.00,14.00,26.00,53.80,12.00,191.00,67.00,35.10,107.00,76.00,8.00,45.00,24.00,0.00,21.00,61.00,106.00,91.00,176.00,1.00,2500.00,373.00,1258.00,1241.00,206.00,51.00,2440.00,6.00,13.00,46.20,7.00,0.00,1541.00,10746.00,6498.00,200.00,57.00,3.00,6.00,10.00,1746.00,1703.00,97.50,11.00,11.00,0.00,0.00,43.00,36.00,1.00,4.00,0.00,0.00,0.00,392.00,145.00,42.00,77.50,3047.00
Diego Llorente,0.567822,0.3411272,0.60979923,1.000004,es ESP,CB,Leeds United,26.00,1993.00,13.40,1.00,8.00,3.00,37.50,0.60,0.22,0.13,0.33,16.40,0.00,0.00,0.00,0.70,0.70,0.09,0.30,0.30,568.00,665.00,85.40,13050.00,3174.00,94.00,108.00,87.00,370.00,405.00,91.40,99.00,136.00,72.80,0.00,0.60,-0.60,4.00,28.00,1.00,0.00,23.00,642.00,23.00,23.00,2.00,66.00,18.00,2.00,0.00,0.00,0.00,0.00,523.00,55.00,87.00,135.00,504.00,16.00,0.00,1.00,1.00,6.00,19.00,12.00,6.00,0.45,5.00,0.00,0.00,1.00,0.00,0.00,1.00,0.07,1.00,0.00,0.00,0.00,0.00,0.00,39.00,27.00,24.00,15.00,0.00,16.00,26.00,61.50,10.00,250.00,89.00,35.60,152.00,94.00,4.00,25.00,13.00,0.00,12.00,41.00,66.00,80.00,72.00,1.00,839.00,158.00,559.00,311.00,20.00,9.00,823.00,5.00,5.00,100.00,5.00,0.00,509.00,3672.00,2231.00,32.00,2.00,0.00,2.00,7.00,525.00,513.00,97.70,1.00,1.00,0.00,0.00,24.00,12.00,0.00,2.00,0.00,0.00,0.00,117.00,40.00,26.00,60.60,1204.00
Joachim Andersen,0.3150371,0.3214175,0.513883335,0.81656646,dk DEN,CB,Fulham,24.00,1996.00,30.30,1.00,13.00,3.00,23.10,0.43,0.10,0.08,0.33,15.40,1.00,0.00,0.00,1.10,1.10,0.08,-0.10,-0.10,1529.00,1833.00,83.40,38236.00,11350.00,300.00,334.00,89.80,821.00,894.00,91.80,397.00,577.00,68.80,1.00,0.50,0.50,9.00,121.00,9.00,1.00,99.00,1765.00,68.00,54.00,1.00,163.00,96.00,4.00,0.00,0.00,0.00,0.00,1255.00,158.00,420.00,173.00,1477.00,108.00,14.00,7.00,7.00,51.00,18.00,22.00,26.00,0.86,24.00,0.00,0.00,1.00,0.00,1.00,2.00,0.07,2.00,0.00,0.00,0.00,0.00,0.00,41.00,26.00,23.00,13.00,5.00,20.00,37.00,54.10,17.00,196.00,66.00,33.70,128.00,55.00,13.00,35.00,16.00,0.00,19.00,51.00,86.00,92.00,233.00,1.00,2204.00,365.00,1311.00,942.00,94.00,22.00,2139.00,7.00,7.00,100.00,7.00,0.00,1310.00,8148.00,4263.00,69.00,12.00,0.00,6.00,6.00,1443.00,1416.00,98.10,3.00,7.00,1.00,0.00,45.00,15.00,1.00,4.00,0.00,1.00,0.00,335.00,118.00,40.00,74.70,2730.00
Thiago Silva,0.4931173,0.3139467,0.904612968,0.76321801,br BRA,CB,Chelsea,35.00,1984.00,21.50,2.00,13.00,4.00,30.80,0.60,0.19,0.15,0.50,8.00,0.00,0.00,0.00,1.10,1.10,0.09,0.90,0.90,1749.00,1871.00,93.50,38049.00,11880.00,471.00,489.00,96.30,950.00,978.00,97.10,317.00,385.00,82.30,0.00,0.30,-0.30,5.00,113.00,7.00,0.00,78.00,1828.00,43.00,39.00,3.00,112.00,47.00,1.00,0.00,0.00,0.00,0.00,1531.00,147.00,193.00,200.00,1577.00,66.00,4.00,7.00,5.00,13.00,12.00,8.00,18.00,0.84,17.00,0.00,0.00,1.00,0.00,0.00,1.00,0.05,1.00,0.00,0.00,0.00,0.00,0.00,23.00,13.00,16.00,6.00,1.00,9.00,18.00,50.00,9.00,102.00,39.00,38.20,47.00,51.00,4.00,26.00,13.00,1.00,13.00,28.00,54.00,51.00,114.00,1.00,2077.00,265.00,993.00,1185.00,57.00,19.00,2036.00,2.00,3.00,66.70,2.00,0.00,1453.00,8169.00,5319.00,159.00,17.00,0.00,7.00,2.00,1611.00,1594.00,98.90,2.00,5.00,1.00,1.00,13.00,14.00,0.00,1.00,0.00,0.00,0.00,227.00,55.00,20.00,73.30,1935.00
Paul Dummett,0.5278922,0.3135955,0.186787761,0.62780404,wls WAL,CB,Newcastle Utd,28.00,1991.00,13.90,1.00,3.00,1.00,33.30,0.22,0.07,0.33,1.00,6.90,0.00,0.00,0.00,0.30,0.30,0.10,0.70,0.70,411.00,535.00,76.80,7707.00,3851.00,185.00,200.00,92.50,166.00,200.00,83.00,52.00,119.00,43.70,0.00,0.50,-0.50,4.00,31.00,5.00,2.00,23.00,478.00,57.00,13.00,0.00,62.00,5.00,9.00,0.00,0.00,0.00,0.00,330.00,62.00,143.00,437.00,23.00,20.00,43.00,0.00,6.00,12.00,15.00,10.00,5.00,0.36,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.07,1.00,0.00,0.00,0.00,0.00,0.00,21.00,11.00,13.00,7.00,1.00,10.00,20.00,50.00,10.00,119.00,28.00,23.50,81.00,32.00,6.00,30.00,10.00,0.00,20.00,17.00,47.00,38.00,95.00,1.00,709.00,102.00,375.00,277.00,80.00,7.00,653.00,2.00,3.00,66.70,2.00,0.00,372.00,1332.00,699.00,13.00,4.00,0.00,5.00,1.00,429.00,408.00,95.10,3.00,2.00,0.00,0.00,10.00,4.00,0.00,9.00,0.00,0.00,0.00,72.00,39.00,31.00,55.70,1255.00
James Tarkowski,0.3130704,0.3009142,0.227113255,0.83369124,eng ENG,CB,Burnley,27.00,1992.00,36.00,1.00,22.00,6.00,27.30,0.61,0.17,0.05,0.17,8.30,0.00,0.00,0.00,2.60,2.60,0.12,-1.60,-1.60,840.00,1167.00,72.00,20747.00,7676.00,221.00,286.00,77.30,374.00,458.00,81.70,240.00,401.00,59.90,0.00,0.70,-0.70,10.00,69.00,13.00,2.00,76.00,1130.00,37.00,32.00,2.00,193.00,58.00,5.00,0.00,0.00,0.00,0.00,575.00,157.00,435.00,151.00,752.00,152.00,5.00,2.00,10.00,32.00,21.00,18.00,25.00,0.69,16.00,4.00,0.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.00,42.00,60.00,10.00,4.00,30.00,54.00,55.60,24.00,252.00,104.00,41.30,174.00,68.00,10.00,70.00,46.00,2.00,24.00,57.00,127.00,131.00,236.00,1.00,1650.00,263.00,884.00,707.00,132.00,72.00,1616.00,11.00,13.00,84.60,12.00,0.00,667.00,3576.00,1805.00,41.00,6.00,1.00,12.00,7.00,829.00,777.00,93.70,17.00,6.00,0.00,0.00,35.00,33.00,3.00,5.00,0.00,0.00,0.00,358.00,184.00,62.00,74.80,3240.00
Robin Koch,0.610402,0.2981412,0.57735999,0.95684602,de GER,CB,Leeds United,24.00,1996.00,12.60,0.00,9.00,2.00,22.20,0.72,0.16,0.00,0.00,10.80,0.00,0.00,0.00,0.80,0.80,0.09,-0.80,-0.80,648.00,757.00,85.60,13825.00,4119.00,141.00,169.00,83.40,407.00,429.00,94.90,92.00,146.00,63.00,0.00,0.20,-0.20,4.00,36.00,3.00,0.00,44.00,741.00,16.00,15.00,1.00,82.00,17.00,1.00,0.00,0.00,0.00,0.00,565.00,59.00,133.00,80.00,604.00,39.00,1.00,4.00,2.00,10.00,10.00,4.00,10.00,0.80,10.00,0.00,0.00,0.00,0.00,0.00,2.00,0.16,2.00,0.00,0.00,0.00,0.00,0.00,29.00,18.00,16.00,13.00,0.00,12.00,24.00,50.00,12.00,183.00,48.00,26.20,91.00,80.00,12.00,31.00,14.00,0.00,17.00,13.00,44.00,42.00,40.00,2.00,883.00,156.00,501.00,380.00,51.00,11.00,867.00,2.00,2.00,100.00,2.00,0.00,555.00,3121.00,1986.00,35.00,7.00,0.00,1.00,5.00,597.00,585.00,98.00,6.00,1.00,0.00,0.00,25.00,8.00,0.00,1.00,0.00,2.00,0.00,159.00,40.00,25.00,61.50,1132.00
Branislav IvanoviÄ,0.220435,0.2933418,0.17205306,0.69211728,rs SRB,CB,West Brom,36.00,1984.00,8.50,0.00,4.00,1.00,25.00,0.47,0.12,0.00,0.00,6.50,0.00,0.00,0.00,0.60,0.60,0.15,-0.60,-0.60,265.00,311.00,85.20,5966.00,1426.00,66.00,74.00,89.20,147.00,163.00,90.20,52.00,71.00,73.20,0.00,0.10,-0.10,1.00,11.00,3.00,0.00,10.00,290.00,21.00,20.00,0.00,27.00,9.00,0.00,0.00,0.00,0.00,0.00,223.00,35.00,53.00,26.00,240.00,32.00,1.00,0.00,0.00,7.00,3.00,5.00,1.00,0.12,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,5.00,9.00,5.00,0.00,5.00,12.00,41.70,7.00,83.00,18.00,21.70,54.00,28.00,1.00,15.00,7.00,0.00,8.00,3.00,18.00,17.00,31.00,0.00,384.00,54.00,200.00,187.00,11.00,6.00,364.00,0.00,0.00,,0.00,0.00,173.00,787.00,401.00,4.00,1.00,0.00,1.00,1.00,214.00,207.00,96.70,1.00,2.00,0.00,0.00,13.00,4.00,1.00,0.00,0.00,0.00,0.00,84.00,19.00,13.00,59.40,767.00
Michael Keane,0.600909,0.28740154,0.5315365,0.76432472,eng ENG,CB,Everton,27.00,1993.00,33.20,3.00,16.00,6.00,37.50,0.48,0.18,0.19,0.50,11.10,0.00,0.00,0.00,1.20,1.20,0.08,1.80,1.80,1631.00,1835.00,88.90,37031.00,11779.00,355.00,391.00,90.80,939.00,989.00,94.90,307.00,414.00,74.20,1.00,1.10,-0.10,8.00,104.00,6.00,0.00,87.00,1793.00,42.00,37.00,3.00,153.00,45.00,0.00,0.00,0.00,0.00,0.00,1403.00,139.00,293.00,390.00,1302.00,85.00,0.00,2.00,2.00,17.00,20.00,15.00,22.00,0.66,21.00,0.00,0.00,1.00,0.00,0.00,3.00,0.09,3.00,0.00,0.00,0.00,0.00,0.00,31.00,15.00,23.00,6.00,2.00,12.00,34.00,35.30,22.00,204.00,70.00,34.30,131.00,64.00,9.00,74.00,38.00,0.00,36.00,43.00,117.00,74.00,198.00,2.00,2206.00,375.00,1309.00,972.00,64.00,36.00,2164.00,4.00,8.00,50.00,5.00,0.00,1306.00,7644.00,4400.00,85.00,7.00,1.00,3.00,8.00,1556.00,1524.00,97.90,3.00,4.00,0.00,0.00,20.00,9.00,0.00,0.00,0.00,0.00,0.00,272.00,125.00,47.00,72.70,2991.00
Toby Alderweireld,0.4627143,0.2862654,0.363320795,0.65866096,be BEL,CB,Tottenham,31.00,1989.00,24.90,1.00,11.00,3.00,27.30,0.44,0.12,0.09,0.33,7.60,0.00,0.00,0.00,0.80,0.80,0.08,0.20,0.20,1143.00,1365.00,83.70,27127.00,7537.00,266.00,287.00,92.70,581.00,625.00,93.00,287.00,432.00,66.40,0.00,0.30,-0.30,7.00,76.00,6.00,1.00,52.00,1305.00,60.00,50.00,2.00,98.00,51.00,1.00,0.00,0.00,0.00,0.00,926.00,120.00,319.00,255.00,1010.00,66.00,10.00,4.00,2.00,19.00,21.00,13.00,19.00,0.76,16.00,0.00,0.00,3.00,0.00,0.00,3.00,0.12,3.00,0.00,0.00,0.00,0.00,0.00,38.00,19.00,23.00,15.00,0.00,15.00,27.00,55.60,12.00,202.00,74.00,36.60,128.00,71.00,3.00,53.00,32.00,1.00,21.00,15.00,68.00,53.00,162.00,0.00,1638.00,302.00,970.00,717.00,40.00,14.00,1579.00,3.00,3.00,100.00,3.00,0.00,973.00,4817.00,2473.00,49.00,5.00,0.00,2.00,2.00,1104.00,1088.00,98.60,4.00,2.00,0.00,0.00,22.00,4.00,0.00,1.00,0.00,1.00,1.00,200.00,54.00,39.00,58.10,2240.00
Gary Cahill,0.4778164,0.2861558,0.193613793,0.69125622,eng ENG,CB,Crystal Palace,34.00,1985.00,20.00,1.00,11.00,3.00,27.30,0.55,0.15,0.09,0.33,11.40,0.00,0.00,0.00,0.70,0.70,0.06,0.30,0.30,590.00,697.00,84.60,12855.00,4415.00,164.00,191.00,85.90,328.00,351.00,93.40,94.00,148.00,63.50,1.00,0.70,0.30,8.00,34.00,1.00,0.00,34.00,671.00,26.00,26.00,0.00,95.00,12.00,0.00,0.00,0.00,0.00,0.00,483.00,68.00,146.00,94.00,521.00,35.00,0.00,7.00,2.00,11.00,8.00,5.00,12.00,0.60,12.00,0.00,0.00,0.00,0.00,0.00,2.00,0.10,2.00,0.00,0.00,0.00,0.00,0.00,13.00,7.00,10.00,3.00,0.00,4.00,10.00,40.00,6.00,101.00,29.00,28.70,66.00,27.00,8.00,45.00,28.00,0.00,17.00,19.00,64.00,32.00,127.00,2.00,914.00,162.00,576.00,352.00,38.00,26.00,888.00,1.00,2.00,50.00,1.00,0.00,436.00,2290.00,1059.00,24.00,1.00,0.00,3.00,2.00,548.00,520.00,94.90,1.00,3.00,0.00,0.00,15.00,3.00,3.00,0.00,0.00,0.00,0.00,147.00,80.00,39.00,67.20,1800.00
Antonio RÃ¼diger,0.6964098,0.2763085,0.758813271,0.70212822,de GER,CB,Chelsea,27.00,1993.00,19.00,1.00,14.00,6.00,42.90,0.74,0.32,0.07,0.17,17.40,0.00,0.00,0.00,1.10,1.10,0.08,-0.10,-0.10,1339.00,1475.00,90.80,27991.00,7649.00,391.00,405.00,96.50,746.00,776.00,96.10,191.00,271.00,70.50,0.00,0.30,-0.30,3.00,111.00,4.00,1.00,52.00,1441.00,34.00,32.00,0.00,115.00,29.00,1.00,0.00,0.00,0.00,0.00,1254.00,71.00,150.00,398.00,1029.00,23.00,2.00,0.00,3.00,18.00,12.00,13.00,14.00,0.74,13.00,1.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,0.00,0.00,0.00,0.00,0.00,30.00,18.00,16.00,11.00,3.00,12.00,18.00,66.70,6.00,166.00,66.00,39.80,90.00,63.00,13.00,21.00,11.00,0.00,10.00,15.00,36.00,45.00,89.00,0.00,1651.00,184.00,771.00,895.00,98.00,19.00,1623.00,3.00,6.00,50.00,4.00,1.00,1182.00,5854.00,3273.00,76.00,25.00,1.00,2.00,0.00,1309.00,1282.00,97.90,0.00,0.00,0.00,0.00,17.00,13.00,1.00,1.00,0.00,0.00,1.00,162.00,50.00,16.00,75.80,1710.00
Angelo Ogbonna,0.488488,0.274673,0.265172464,0.65391387,it ITA,CB,West Ham,32.00,1988.00,27.70,3.00,12.00,4.00,33.30,0.43,0.14,0.25,0.75,7.20,0.00,0.00,0.00,1.50,1.50,0.12,1.50,1.50,810.00,960.00,84.40,17791.00,4668.00,191.00,214.00,89.30,468.00,511.00,91.60,140.00,216.00,64.80,0.00,1.00,-1.00,3.00,27.00,0.00,0.00,26.00,946.00,14.00,12.00,0.00,84.00,14.00,3.00,0.00,0.00,0.00,0.00,707.00,82.00,171.00,575.00,291.00,59.00,2.00,6.00,0.00,11.00,13.00,10.00,6.00,0.22,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,20.00,22.00,3.00,2.00,4.00,17.00,23.50,13.00,218.00,86.00,39.40,133.00,75.00,10.00,41.00,15.00,0.00,26.00,27.00,68.00,54.00,167.00,0.00,1230.00,198.00,713.00,531.00,53.00,28.00,1216.00,4.00,4.00,100.00,4.00,0.00,657.00,4546.00,2008.00,38.00,3.00,0.00,4.00,4.00,738.00,714.00,96.70,7.00,5.00,0.00,0.00,30.00,11.00,1.00,3.00,0.00,0.00,0.00,227.00,77.00,36.00,68.10,2492.00
