Player,Goal Scoring Efficiency,Creativity Efficiency,D&B Efficiency,Defending Efficiency,Nation,Pos,Squad,Age,Born,90sâ¼,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Passing Cmp,Passing Att,Passing Cmp%,Passing TotDist,Passing PrgDist,Short Passing Cmp,Short Passing Att,Short Passing Cmp%,Medium Passing Cmp,Medium Passing Att,Medium Passing Cmp%,Long Passing Cmp,Long Passing Att,Long Passing Cmp%,Assists,xA,A-xA,KP,Final Third Passes,PPA,CrsPA,Prog,Live Passes,Dead Passes,FK Passes,TB Passes,Press Passes,Sw Passes,Crs Passes,CK Passes,CK Inswinging,CK Outswinging,CK Straight,Ground Passes,Low Passes,High Passes,Left Footed Passes,Right Footed Passes,Head Passes,Throw in Passes,Other Passes,Offside Passes,Out Passes,Intercepted Passes,Blocked Passes,SCA,SCA90,SCA PassLive,SCA PassDead,SCA Drib,SCA Sh,SCA Fld,SCA Def,GCA,GCA90,GCA PassLive,GCA PassDead,GCA Drib,GCA Sh,GCA Fld,GCA Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,vs Dribble TklW,vs Dribble Tkl Att,vs Dribble Tkl%,vs Dribble Past,Pressures Total,Pressures Succ,Pressures Succesful%,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks,Blocked Shots,Blcoked SOT,Blocked Pass,Int,Blocks and Interceptions,Tkl+Int,Clearances,Mistake To Goal,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Megs,Carries,Carry TotDist,Carry PrgDist,Carry Prog,Carries Final Third,Carry into box,Miscontrol,Displaced,Receiving Pass Target,Receiving Pass Rec,Rec%,Proggresive Passes Received,CrdY,CrdR,2CrdY,Fls,Fld,Offsides,Crosses Attempted,PKwon,PKcon,OG,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Minutes Played
Youri Tielemans,0.841609,0.68848511,0.50376145,0.797542752,be BEL,MF,Leicester City,23.00,1997.00,37.30,6.00,47.00,18.00,38.30,1.26,0.48,0.09,0.22,22.10,4.00,2.00,2.00,4.50,3.00,0.06,1.50,1.00,2011.00,2559.00,78.60,38768.00,9963.00,788.00,893.00,88.20,910.00,1049.00,86.70,282.00,538.00,52.40,4.00,3.30,0.70,48.00,212.00,43.00,4.00,206.00,2377.00,182.00,72.00,7.00,323.00,93.00,45.00,97.00,33.00,33.00,8.00,1846.00,233.00,480.00,493.00,1955.00,56.00,12.00,13.00,9.00,49.00,81.00,55.00,109.00,2.92,83.00,12.00,2.00,4.00,4.00,4.00,16.00,0.43,14.00,0.00,0.00,0.00,1.00,1.00,77.00,56.00,31.00,30.00,16.00,27.00,95.00,28.40,68.00,505.00,182.00,36.00,162.00,245.00,98.00,57.00,11.00,0.00,46.00,36.00,93.00,113.00,29.00,0.00,2926.00,57.00,615.00,1695.00,777.00,43.00,2752.00,40.00,57.00,70.20,45.00,7.00,1881.00,7481.00,4300.00,168.00,50.00,9.00,29.00,47.00,2230.00,2097.00,94.00,75.00,6.00,0.00,0.00,54.00,69.00,0.00,45.00,0.00,0.00,0.00,412.00,37.00,35.00,51.40,3357.00
Dwight McNeil,0.51938651,0.68272452,0.72849582,0.601892303,eng ENG,MF,Burnley,20.00,1999.00,34.10,2.00,26.00,9.00,34.60,0.76,0.26,0.08,0.22,21.90,1.00,0.00,0.00,1.10,1.10,0.04,0.90,0.90,920.00,1336.00,68.90,18456.00,5542.00,395.00,452.00,87.40,336.00,429.00,78.30,169.00,369.00,45.80,5.00,6.50,-1.50,50.00,74.00,41.00,24.00,77.00,1170.00,166.00,74.00,5.00,249.00,109.00,114.00,74.00,64.00,5.00,2.00,819.00,142.00,375.00,1211.00,55.00,34.00,18.00,2.00,8.00,34.00,27.00,68.00,80.00,2.35,42.00,27.00,2.00,1.00,6.00,2.00,9.00,0.26,4.00,3.00,1.00,0.00,0.00,1.00,43.00,22.00,17.00,21.00,5.00,11.00,52.00,21.20,41.00,585.00,138.00,23.60,156.00,286.00,143.00,58.00,6.00,0.00,52.00,38.00,96.00,81.00,27.00,1.00,1696.00,49.00,281.00,895.00,706.00,51.00,1542.00,66.00,114.00,57.90,69.00,7.00,1222.00,8017.00,3476.00,172.00,66.00,21.00,42.00,62.00,1307.00,1069.00,81.80,72.00,1.00,0.00,0.00,13.00,46.00,2.00,114.00,0.00,0.00,0.00,272.00,22.00,30.00,42.30,3069.00
Raphael Dias Belloli,0.99999986,1,1.0000011,0.50190042,br BRA,MF,Leeds United,23.00,1996.00,26.20,6.00,68.00,27.00,39.70,2.59,1.03,0.09,0.22,16.30,4.00,0.00,0.00,6.00,6.00,0.09,0.00,0.00,704.00,1057.00,66.60,13455.00,5385.00,323.00,380.00,85.00,253.00,359.00,70.50,113.00,249.00,45.40,9.00,8.10,0.90,66.00,81.00,42.00,9.00,135.00,908.00,149.00,41.00,5.00,116.00,59.00,75.00,91.00,41.00,36.00,5.00,627.00,163.00,267.00,906.00,95.00,25.00,16.00,9.00,5.00,17.00,51.00,47.00,109.00,4.16,62.00,26.00,10.00,4.00,3.00,4.00,14.00,0.53,8.00,3.00,1.00,2.00,0.00,0.00,38.00,19.00,15.00,14.00,9.00,13.00,55.00,23.60,42.00,402.00,98.00,24.40,111.00,160.00,131.00,39.00,1.00,0.00,38.00,31.00,70.00,69.00,33.00,0.00,1450.00,42.00,204.00,645.00,687.00,135.00,1307.00,61.00,118.00,51.70,66.00,5.00,956.00,4827.00,3115.00,162.00,40.00,31.00,72.00,36.00,1351.00,976.00,72.20,168.00,3.00,0.00,0.00,22.00,39.00,15.00,75.00,0.00,0.00,0.00,159.00,12.00,38.00,24.00,2360.00
Tanguy Ndombele,0.71047952,0.57267942,0.68642248,0.803693877,fr FRA,MF,Tottenham,23.00,1996.00,23.20,3.00,18.00,7.00,38.90,0.77,0.30,0.17,0.43,17.10,0.00,0.00,0.00,1.40,1.40,0.08,1.60,1.60,994.00,1165.00,85.30,15903.00,4088.00,527.00,588.00,89.60,345.00,404.00,85.40,81.00,110.00,73.60,2.00,2.40,-0.40,16.00,91.00,22.00,0.00,101.00,1128.00,37.00,17.00,8.00,165.00,16.00,8.00,0.00,0.00,0.00,0.00,970.00,116.00,79.00,100.00,1007.00,37.00,4.00,5.00,3.00,7.00,31.00,24.00,57.00,2.45,42.00,0.00,4.00,2.00,7.00,2.00,8.00,0.34,7.00,0.00,0.00,1.00,0.00,0.00,49.00,32.00,12.00,25.00,12.00,11.00,43.00,25.60,32.00,454.00,152.00,33.50,134.00,240.00,80.00,35.00,4.00,0.00,31.00,30.00,65.00,79.00,19.00,0.00,1465.00,33.00,265.00,951.00,359.00,39.00,1436.00,70.00,97.00,72.20,73.00,5.00,1104.00,5253.00,2900.00,153.00,41.00,11.00,31.00,49.00,1207.00,1072.00,88.80,77.00,3.00,0.00,0.00,33.00,83.00,0.00,8.00,0.00,0.00,0.00,206.00,14.00,19.00,42.40,2091.00
Eberechi Eze,0.8506946,0.68109073,0.999998676,0.517428013,eng ENG,MF,Crystal Palace,22.00,1998.00,28.40,4.00,37.00,13.00,35.10,1.30,0.46,0.11,0.31,21.10,4.00,0.00,0.00,2.20,2.20,0.06,1.80,1.80,918.00,1158.00,79.30,14737.00,4359.00,503.00,564.00,89.20,297.00,360.00,82.50,85.00,174.00,48.90,6.00,2.80,3.20,39.00,77.00,32.00,3.00,111.00,1037.00,121.00,37.00,2.00,191.00,31.00,26.00,63.00,18.00,24.00,8.00,894.00,102.00,162.00,162.00,961.00,17.00,5.00,1.00,8.00,12.00,34.00,32.00,83.00,2.92,48.00,13.00,10.00,2.00,8.00,2.00,12.00,0.42,4.00,2.00,4.00,1.00,1.00,0.00,38.00,22.00,18.00,14.00,6.00,14.00,36.00,38.90,22.00,319.00,91.00,28.50,89.00,162.00,68.00,32.00,3.00,0.00,29.00,29.00,61.00,67.00,6.00,0.00,1482.00,27.00,246.00,783.00,610.00,52.00,1371.00,69.00,108.00,63.90,73.00,4.00,1181.00,7617.00,3974.00,188.00,63.00,18.00,42.00,54.00,1278.00,1037.00,81.10,113.00,3.00,0.00,0.00,21.00,83.00,1.00,26.00,0.00,0.00,0.00,203.00,12.00,32.00,27.30,2559.00
Bobby Reid,0.4027535,0.49956445,0.61030996,0.50944013,jm JAM,CDM,Fulham,27.00,1993.00,26.40,5.00,34.00,8.00,23.50,1.29,0.30,0.15,0.63,16.80,1.00,0.00,0.00,4.80,4.80,0.14,0.20,0.20,612.00,826.00,74.10,10197.00,2922.00,308.00,360.00,85.60,230.00,297.00,77.40,54.00,120.00,45.00,2.00,1.40,0.60,15.00,38.00,28.00,6.00,60.00,772.00,54.00,5.00,2.00,125.00,22.00,35.00,3.00,1.00,1.00,1.00,535.00,144.00,147.00,73.00,682.00,21.00,30.00,3.00,3.00,15.00,25.00,32.00,33.00,1.25,24.00,0.00,2.00,2.00,3.00,2.00,5.00,0.19,4.00,0.00,0.00,0.00,1.00,0.00,32.00,20.00,15.00,10.00,7.00,10.00,33.00,30.30,23.00,411.00,106.00,25.80,122.00,159.00,130.00,37.00,6.00,0.00,31.00,17.00,54.00,49.00,41.00,0.00,1119.00,47.00,215.00,522.00,457.00,92.00,1065.00,28.00,51.00,54.90,29.00,4.00,747.00,3563.00,1799.00,97.00,32.00,17.00,53.00,35.00,1008.00,759.00,75.30,122.00,7.00,0.00,0.00,43.00,24.00,4.00,35.00,1.00,0.00,0.00,157.00,26.00,41.00,38.80,2372.00
Dani Ceballos,0.521788,0.72980108,0.870676412,0.79403789,es ESP,MF,Arsenal,23.00,1996.00,17.90,0.00,12.00,2.00,16.70,0.67,0.11,0.00,0.00,21.70,1.00,0.00,0.00,0.70,0.70,0.06,-0.70,-0.70,1112.00,1286.00,86.50,22027.00,5182.00,415.00,457.00,90.80,511.00,558.00,91.60,172.00,230.00,74.80,3.00,2.90,0.10,27.00,131.00,22.00,3.00,107.00,1234.00,52.00,26.00,7.00,151.00,45.00,13.00,17.00,6.00,6.00,2.00,967.00,152.00,167.00,73.00,1164.00,31.00,8.00,5.00,1.00,17.00,26.00,28.00,55.00,3.07,48.00,3.00,1.00,1.00,1.00,1.00,5.00,0.28,4.00,0.00,0.00,1.00,0.00,0.00,40.00,33.00,19.00,12.00,9.00,13.00,49.00,26.50,36.00,281.00,75.00,26.70,121.00,100.00,60.00,29.00,7.00,1.00,22.00,24.00,53.00,64.00,21.00,0.00,1462.00,71.00,363.00,863.00,371.00,29.00,1412.00,26.00,36.00,72.20,26.00,4.00,1058.00,6937.00,3720.00,165.00,48.00,2.00,13.00,21.00,1117.00,1075.00,96.20,45.00,4.00,0.00,0.00,21.00,30.00,0.00,13.00,0.00,0.00,0.00,196.00,7.00,12.00,36.80,1615.00
John Fleck,0.1963643,0.53425806,0.5363826,0.632121753,sct SCO,MF,Sheffield Utd,28.00,1991.00,28.60,0.00,17.00,5.00,29.40,0.59,0.17,0.00,0.00,23.00,0.00,0.00,0.00,0.90,0.90,0.05,-0.90,-0.90,946.00,1213.00,78.00,15645.00,4958.00,495.00,544.00,91.00,315.00,384.00,82.00,104.00,226.00,46.00,2.00,2.70,-0.70,34.00,113.00,25.00,4.00,103.00,1102.00,111.00,30.00,2.00,154.00,38.00,35.00,59.00,28.00,13.00,10.00,812.00,159.00,242.00,1048.00,91.00,45.00,6.00,15.00,3.00,16.00,28.00,24.00,66.00,2.31,46.00,13.00,3.00,2.00,1.00,1.00,3.00,0.10,2.00,1.00,0.00,0.00,0.00,0.00,46.00,27.00,26.00,16.00,4.00,16.00,69.00,23.20,53.00,506.00,127.00,25.10,178.00,246.00,82.00,37.00,5.00,0.00,32.00,39.00,76.00,85.00,18.00,1.00,1451.00,38.00,255.00,740.00,552.00,31.00,1345.00,36.00,54.00,66.70,38.00,4.00,898.00,4232.00,2679.00,129.00,50.00,5.00,21.00,35.00,1049.00,946.00,90.20,55.00,4.00,0.00,0.00,42.00,35.00,1.00,35.00,0.00,0.00,0.00,235.00,9.00,19.00,32.10,2575.00
Jack Harrison,0.93023476,1.00000024,0.944214162,0.66440606,eng ENG,MF,Leeds United,23.00,1996.00,31.60,8.00,47.00,19.00,40.40,1.49,0.60,0.17,0.42,15.30,1.00,0.00,0.00,6.60,6.60,0.14,1.40,1.40,788.00,1162.00,67.80,13468.00,4538.00,399.00,506.00,78.90,301.00,398.00,75.60,75.00,186.00,40.30,8.00,7.10,0.90,58.00,37.00,65.00,20.00,111.00,1101.00,61.00,8.00,4.00,196.00,44.00,119.00,37.00,23.00,9.00,0.00,723.00,182.00,257.00,796.00,282.00,39.00,16.00,8.00,9.00,23.00,40.00,72.00,104.00,3.29,88.00,5.00,5.00,2.00,2.00,2.00,15.00,0.47,11.00,1.00,2.00,0.00,0.00,1.00,67.00,35.00,29.00,25.00,13.00,19.00,51.00,37.30,32.00,631.00,174.00,27.60,166.00,226.00,239.00,39.00,3.00,0.00,36.00,25.00,64.00,92.00,26.00,0.00,1557.00,40.00,295.00,561.00,800.00,119.00,1498.00,46.00,78.00,59.00,49.00,3.00,1117.00,6432.00,3767.00,202.00,48.00,31.00,75.00,67.00,1435.00,1097.00,76.40,189.00,2.00,0.00,0.00,33.00,33.00,12.00,119.00,0.00,0.00,0.00,208.00,30.00,41.00,42.30,2847.00
Mateusz Klich,0.94068625,0.88571601,0.7678499,0.8153508,pl POL,MF,Leeds United,30.00,1990.00,26.60,4.00,34.00,10.00,29.40,1.28,0.38,0.06,0.20,22.00,0.00,2.00,2.00,3.30,1.80,0.05,0.70,0.20,1185.00,1495.00,79.30,20394.00,5286.00,580.00,666.00,87.10,427.00,517.00,82.60,136.00,221.00,61.50,5.00,3.90,1.10,46.00,105.00,41.00,6.00,140.00,1432.00,63.00,37.00,6.00,199.00,28.00,37.00,18.00,3.00,11.00,1.00,1064.00,195.00,236.00,100.00,1306.00,63.00,7.00,5.00,6.00,24.00,44.00,48.00,97.00,3.65,81.00,7.00,2.00,5.00,2.00,0.00,13.00,0.49,11.00,1.00,1.00,0.00,0.00,0.00,52.00,43.00,19.00,25.00,8.00,10.00,59.00,16.90,49.00,570.00,165.00,28.90,129.00,319.00,122.00,21.00,4.00,0.00,17.00,17.00,38.00,69.00,23.00,0.00,1718.00,32.00,272.00,877.00,685.00,73.00,1657.00,13.00,24.00,54.20,16.00,3.00,1080.00,5996.00,2941.00,145.00,65.00,4.00,30.00,27.00,1511.00,1252.00,82.90,189.00,6.00,0.00,0.00,50.00,24.00,5.00,37.00,0.00,1.00,0.00,267.00,17.00,21.00,44.70,2393.00
Andre-Frank Zambo Anguissa,0.3908864,0.47175372,0.811881766,0.859136438,cm CMR,MF,Fulham,24.00,1995.00,28.70,0.00,34.00,8.00,23.50,1.18,0.28,0.00,0.00,20.50,0.00,0.00,0.00,1.80,1.80,0.05,-1.80,-1.80,1197.00,1410.00,84.90,20529.00,4894.00,552.00,631.00,87.50,530.00,589.00,90.00,90.00,132.00,68.20,3.00,2.20,0.80,27.00,134.00,23.00,5.00,114.00,1388.00,22.00,17.00,4.00,212.00,24.00,13.00,0.00,0.00,0.00,0.00,1113.00,141.00,156.00,202.00,1110.00,48.00,5.00,6.00,0.00,20.00,32.00,31.00,57.00,1.98,43.00,0.00,8.00,2.00,3.00,1.00,6.00,0.21,4.00,0.00,2.00,0.00,0.00,0.00,87.00,53.00,27.00,46.00,14.00,23.00,57.00,40.40,34.00,562.00,164.00,29.20,172.00,275.00,115.00,47.00,7.00,0.00,40.00,55.00,102.00,142.00,34.00,1.00,1811.00,48.00,403.00,1105.00,469.00,53.00,1790.00,87.00,119.00,73.10,90.00,3.00,1332.00,7766.00,4026.00,176.00,64.00,13.00,60.00,62.00,1388.00,1211.00,87.20,83.00,6.00,0.00,0.00,50.00,45.00,0.00,13.00,0.00,0.00,0.00,330.00,55.00,38.00,59.10,2587.00
Mario Lemina,0.20298962,0.3915388,0.64712974,0.78273324,ga GAB,MF,Fulham,26.00,1993.00,18.90,1.00,18.00,2.00,11.10,0.95,0.11,0.06,0.50,23.60,0.00,0.00,0.00,0.90,0.90,0.05,0.10,0.10,734.00,860.00,85.30,15079.00,3711.00,244.00,278.00,87.80,358.00,399.00,89.70,116.00,163.00,71.20,0.00,0.80,-0.80,10.00,60.00,15.00,1.00,56.00,842.00,18.00,15.00,1.00,84.00,24.00,5.00,0.00,0.00,0.00,0.00,674.00,74.00,112.00,125.00,684.00,35.00,2.00,2.00,1.00,17.00,18.00,8.00,25.00,1.32,17.00,0.00,5.00,1.00,1.00,1.00,2.00,0.11,0.00,0.00,0.00,0.00,1.00,1.00,61.00,36.00,30.00,23.00,8.00,19.00,40.00,47.50,21.00,319.00,105.00,32.90,124.00,153.00,42.00,28.00,6.00,0.00,22.00,43.00,71.00,104.00,37.00,0.00,1099.00,54.00,345.00,651.00,187.00,11.00,1082.00,28.00,39.00,71.80,30.00,3.00,710.00,4144.00,2114.00,85.00,18.00,1.00,17.00,25.00,758.00,702.00,92.60,19.00,5.00,0.00,0.00,38.00,19.00,0.00,5.00,1.00,0.00,0.00,191.00,19.00,27.00,41.30,1703.00
Yves Bissouma,0.1101687,0.35800023,0.557262038,0.80426564,ml MLI,MF,Brighton,23.00,1996.00,34.60,1.00,42.00,3.00,7.10,1.22,0.09,0.02,0.33,25.30,2.00,0.00,0.00,1.20,1.20,0.03,-0.20,-0.20,1461.00,1676.00,87.20,29183.00,5414.00,517.00,583.00,88.70,693.00,757.00,91.50,229.00,293.00,78.20,0.00,1.00,-1.00,15.00,123.00,21.00,2.00,114.00,1639.00,37.00,32.00,5.00,265.00,44.00,8.00,0.00,0.00,0.00,0.00,1300.00,201.00,175.00,157.00,1420.00,50.00,4.00,12.00,1.00,33.00,41.00,24.00,52.00,1.50,42.00,0.00,1.00,2.00,3.00,4.00,2.00,0.06,2.00,0.00,0.00,0.00,0.00,0.00,114.00,74.00,59.00,47.00,8.00,26.00,71.00,36.60,45.00,540.00,187.00,34.60,229.00,256.00,55.00,56.00,8.00,0.00,48.00,60.00,116.00,174.00,67.00,0.00,2098.00,108.00,587.00,1221.00,458.00,14.00,2067.00,50.00,76.00,65.80,53.00,3.00,1469.00,8941.00,4093.00,157.00,62.00,2.00,31.00,31.00,1462.00,1382.00,94.50,26.00,8.00,1.00,0.00,64.00,41.00,0.00,8.00,0.00,0.00,0.00,364.00,38.00,22.00,63.30,3111.00
Sander Berge,0.1705942,0.4394404,0.825774768,0.6625412,no NOR,MF,Sheffield Utd,22.00,1998.00,12.40,1.00,9.00,1.00,11.10,0.72,0.08,0.00,0.00,17.80,0.00,1.00,1.00,1.20,0.50,0.05,-0.20,-0.50,380.00,464.00,81.90,6911.00,1423.00,164.00,197.00,83.20,163.00,184.00,88.60,45.00,63.00,71.40,1.00,1.20,-0.20,12.00,33.00,4.00,2.00,30.00,452.00,12.00,8.00,1.00,73.00,12.00,18.00,2.00,2.00,0.00,0.00,355.00,55.00,54.00,37.00,386.00,26.00,2.00,0.00,2.00,10.00,9.00,12.00,24.00,1.93,20.00,0.00,2.00,1.00,0.00,1.00,1.00,0.08,0.00,0.00,0.00,1.00,0.00,0.00,21.00,16.00,9.00,8.00,4.00,5.00,17.00,29.40,12.00,217.00,63.00,29.00,70.00,115.00,32.00,20.00,2.00,0.00,18.00,3.00,23.00,24.00,19.00,1.00,594.00,31.00,129.00,307.00,222.00,36.00,581.00,19.00,30.00,63.30,20.00,3.00,404.00,3093.00,1682.00,66.00,24.00,9.00,24.00,18.00,463.00,408.00,88.10,35.00,4.00,0.00,0.00,20.00,6.00,2.00,18.00,0.00,0.00,0.00,101.00,16.00,15.00,51.60,1120.00
Ruben Loftus-Cheek,0.3414266,0.5667203,0.838998926,0.58592132,eng ENG,CM,Fulham,24.00,1996.00,21.20,1.00,37.00,8.00,21.60,1.74,0.38,0.03,0.13,15.10,0.00,0.00,0.00,3.10,3.10,0.08,-2.10,-2.10,595.00,716.00,83.10,9651.00,2183.00,293.00,341.00,85.90,244.00,276.00,88.40,42.00,59.00,71.20,0.00,1.40,-1.40,15.00,62.00,12.00,2.00,71.00,703.00,13.00,4.00,1.00,140.00,7.00,13.00,0.00,0.00,0.00,0.00,570.00,75.00,71.00,74.00,569.00,33.00,3.00,4.00,2.00,12.00,16.00,24.00,53.00,2.50,30.00,0.00,7.00,3.00,10.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,22.00,11.00,15.00,6.00,9.00,22.00,40.90,13.00,337.00,100.00,29.70,62.00,175.00,100.00,24.00,2.00,0.00,22.00,23.00,47.00,55.00,15.00,0.00,1013.00,21.00,132.00,594.00,370.00,75.00,1003.00,47.00,76.00,61.80,51.00,3.00,750.00,4556.00,2666.00,109.00,38.00,13.00,57.00,40.00,1109.00,752.00,67.80,120.00,3.00,0.00,0.00,36.00,60.00,3.00,13.00,1.00,0.00,0.00,134.00,43.00,81.00,34.70,1909.00
Pierre HÃ¸jbjerg,0.41678151,0.31895026,0.449770532,0.86870136,dk DEN,MF,Tottenham,24.00,1995.00,38.00,2.00,14.00,7.00,50.00,0.37,0.18,0.14,0.29,22.70,0.00,0.00,0.00,1.10,1.10,0.08,0.90,0.90,2389.00,2687.00,88.90,45264.00,12219.00,965.00,1054.00,91.60,1085.00,1188.00,91.30,309.00,400.00,77.30,4.00,1.90,2.10,17.00,235.00,20.00,4.00,193.00,2585.00,102.00,93.00,3.00,244.00,68.00,11.00,0.00,0.00,0.00,0.00,2152.00,239.00,296.00,351.00,2191.00,96.00,9.00,8.00,6.00,36.00,44.00,12.00,52.00,1.37,42.00,3.00,1.00,2.00,1.00,3.00,8.00,0.21,7.00,1.00,0.00,0.00,0.00,0.00,119.00,82.00,57.00,48.00,14.00,61.00,139.00,43.90,78.00,807.00,232.00,28.70,323.00,396.00,88.00,59.00,10.00,0.00,49.00,49.00,108.00,168.00,82.00,0.00,3050.00,128.00,789.00,2057.00,356.00,25.00,2964.00,25.00,38.00,65.80,26.00,2.00,2061.00,9170.00,4334.00,147.00,26.00,5.00,28.00,30.00,2284.00,2187.00,95.80,32.00,9.00,0.00,0.00,80.00,67.00,0.00,11.00,0.00,1.00,0.00,429.00,52.00,40.00,56.50,3420.00
Paul Pogba,0.66270255,0.8552689,0.806855,0.730955834,fr FRA,CM,Manchester Utd,27.00,1993.00,21.10,3.00,31.00,11.00,35.50,1.47,0.52,0.10,0.27,15.40,0.00,0.00,0.00,2.10,2.10,0.07,0.90,0.90,1112.00,1343.00,82.80,21208.00,5036.00,504.00,567.00,88.90,414.00,465.00,89.00,167.00,250.00,66.80,3.00,2.10,0.90,24.00,113.00,34.00,3.00,111.00,1313.00,30.00,26.00,6.00,262.00,76.00,24.00,0.00,0.00,0.00,0.00,1007.00,133.00,203.00,184.00,1085.00,31.00,4.00,4.00,8.00,15.00,36.00,28.00,68.00,3.23,48.00,1.00,4.00,5.00,7.00,3.00,7.00,0.33,2.00,0.00,2.00,1.00,2.00,0.00,37.00,26.00,15.00,18.00,4.00,13.00,35.00,37.10,22.00,299.00,99.00,33.10,88.00,129.00,82.00,22.00,1.00,0.00,21.00,25.00,47.00,62.00,47.00,0.00,1657.00,58.00,346.00,894.00,519.00,71.00,1635.00,45.00,74.00,60.80,49.00,2.00,1187.00,5456.00,2984.00,147.00,33.00,5.00,49.00,48.00,1446.00,1268.00,87.70,103.00,3.00,0.00,0.00,51.00,55.00,4.00,24.00,2.00,2.00,0.00,210.00,55.00,38.00,59.10,1897.00
