Player,Goal Scoring Efficiency,Creativity Efficiency,D&B Efficiency,Defending Efficiency,Nation,Pos,Squad,Age,Born,90sâ¼,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Passing Cmp,Passing Att,Passing Cmp%,Passing TotDist,Passing PrgDist,Short Passing Cmp,Short Passing Att,Short Passing Cmp%,Medium Passing Cmp,Medium Passing Att,Medium Passing Cmp%,Long Passing Cmp,Long Passing Att,Long Passing Cmp%,Assists,xA,A-xA,KP,Final Third Passes,PPA,CrsPA,Prog,Live Passes,Dead Passes,FK Passes,TB Passes,Press Passes,Sw Passes,Crs Passes,CK Passes,CK Inswinging,CK Outswinging,CK Straight,Ground Passes,Low Passes,High Passes,Left Footed Passes,Right Footed Passes,Head Passes,Throw in Passes,Other Passes,Offside Passes,Out Passes,Intercepted Passes,Blocked Passes,SCA,SCA90,SCA PassLive,SCA PassDead,SCA Drib,SCA Sh,SCA Fld,SCA Def,GCA,GCA90,GCA PassLive,GCA PassDead,GCA Drib,GCA Sh,GCA Fld,GCA Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,vs Dribble TklW,vs Dribble Tkl Att,vs Dribble Tkl%,vs Dribble Past,Pressures Total,Pressures Succ,Pressures Succesful%,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks,Blocked Shots,Blcoked SOT,Blocked Pass,Int,Blocks and Interceptions,Tkl+Int,Clearances,Mistake To Goal,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Megs,Carries,Carry TotDist,Carry PrgDist,Carry Prog,Carries Final Third,Carry into box,Miscontrol,Displaced,Receiving Pass Target,Receiving Pass Rec,Rec%,Proggresive Passes Received,CrdY,CrdR,2CrdY,Fls,Fld,Offsides,Crosses Attempted,PKwon,PKcon,OG,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Minutes Played
Abdoulaye DoucourÃ©,0.34496,0.40618191,0.393336466,0.84935152,ml MLI,MF,Everton,27.00,1993.00,27.10,2.00,18.00,5.00,27.80,0.66,0.18,0.11,0.40,16.80,0.00,0.00,0.00,2.10,2.10,0.12,-0.10,-0.10,1146.00,1333.00,86.00,20026.00,4093.00,517.00,588.00,87.90,482.00,534.00,90.30,117.00,147.00,79.60,3.00,2.20,0.80,18.00,69.00,21.00,1.00,65.00,1318.00,15.00,12.00,3.00,205.00,17.00,10.00,1.00,0.00,0.00,0.00,1047.00,179.00,107.00,162.00,1074.00,60.00,2.00,5.00,2.00,6.00,30.00,33.00,41.00,1.51,36.00,1.00,1.00,1.00,0.00,2.00,5.00,0.18,5.00,0.00,0.00,0.00,0.00,0.00,56.00,42.00,30.00,19.00,7.00,17.00,45.00,37.80,28.00,544.00,158.00,29.00,228.00,219.00,97.00,43.00,9.00,0.00,34.00,35.00,78.00,91.00,29.00,1.00,1579.00,62.00,463.00,880.00,348.00,39.00,1566.00,17.00,28.00,60.70,18.00,2.00,968.00,4880.00,2440.00,81.00,33.00,1.00,30.00,30.00,1203.00,1064.00,88.40,79.00,6.00,0.00,0.00,34.00,16.00,0.00,10.00,0.00,0.00,0.00,304.00,37.00,26.00,58.70,2443.00
Thomas Partey,0.439495,0.3859057,0.897376627,0.8587223,gh GHA,CDM,Arsenal,27.00,1993.00,17.00,0.00,26.00,4.00,15.40,1.53,0.23,0.00,0.00,25.10,0.00,0.00,0.00,1.30,1.30,0.05,-1.30,-1.30,966.00,1112.00,86.90,18748.00,5119.00,381.00,419.00,90.90,422.00,467.00,90.40,142.00,193.00,73.60,2.00,1.00,1.00,12.00,124.00,10.00,0.00,108.00,1083.00,29.00,28.00,2.00,157.00,31.00,2.00,0.00,0.00,0.00,0.00,855.00,108.00,149.00,63.00,1003.00,26.00,1.00,5.00,4.00,20.00,26.00,13.00,29.00,1.70,28.00,0.00,1.00,0.00,0.00,0.00,4.00,0.23,3.00,0.00,1.00,0.00,0.00,0.00,47.00,30.00,21.00,22.00,4.00,18.00,47.00,38.30,29.00,276.00,95.00,34.40,111.00,122.00,43.00,29.00,5.00,0.00,24.00,26.00,55.00,73.00,25.00,0.00,1304.00,46.00,340.00,837.00,232.00,12.00,1281.00,23.00,32.00,71.90,24.00,2.00,975.00,4840.00,2821.00,128.00,47.00,1.00,7.00,21.00,963.00,935.00,97.10,18.00,5.00,0.00,0.00,24.00,23.00,0.00,2.00,0.00,0.00,0.00,198.00,22.00,21.00,51.20,1534.00
Moussa Djenepo,0.55063248,0.54435524,1,0.837981427,ml MLI,MF,Southampton,22.00,1998.00,13.80,1.00,14.00,2.00,14.30,1.02,0.15,0.07,0.50,19.10,0.00,0.00,0.00,0.90,0.90,0.06,0.10,0.10,295.00,400.00,73.80,4570.00,1263.00,160.00,192.00,83.30,111.00,139.00,79.90,18.00,33.00,54.50,0.00,0.60,-0.60,7.00,17.00,13.00,2.00,24.00,382.00,18.00,3.00,1.00,58.00,4.00,10.00,0.00,0.00,0.00,0.00,295.00,54.00,51.00,103.00,253.00,16.00,14.00,7.00,1.00,6.00,13.00,30.00,31.00,2.25,15.00,0.00,10.00,1.00,5.00,0.00,4.00,0.29,1.00,0.00,2.00,0.00,1.00,0.00,46.00,22.00,25.00,11.00,10.00,18.00,53.00,34.00,35.00,332.00,95.00,28.60,122.00,124.00,86.00,27.00,1.00,0.00,26.00,10.00,37.00,56.00,17.00,0.00,644.00,19.00,141.00,308.00,233.00,45.00,629.00,35.00,65.00,53.80,41.00,2.00,444.00,1912.00,995.00,62.00,16.00,11.00,39.00,23.00,524.00,392.00,74.80,64.00,5.00,0.00,0.00,34.00,44.00,3.00,10.00,1.00,1.00,0.00,119.00,11.00,33.00,25.00,1240.00
Joe Willock,0.999998,0.5635489,0.7172825,1.00000085,eng ENG,MF,Newcastle Utd,20.00,1999.00,10.90,8.00,17.00,12.00,70.60,1.56,1.10,0.47,0.67,13.20,0.00,0.00,1.00,3.60,2.60,0.16,4.40,5.40,180.00,234.00,76.90,2983.00,1140.00,89.00,102.00,87.30,63.00,82.00,76.80,18.00,33.00,54.50,0.00,0.70,-0.70,8.00,19.00,7.00,2.00,28.00,229.00,5.00,1.00,0.00,54.00,5.00,10.00,0.00,0.00,0.00,0.00,168.00,35.00,31.00,26.00,188.00,8.00,3.00,2.00,0.00,3.00,11.00,9.00,27.00,2.48,17.00,0.00,3.00,3.00,3.00,1.00,3.00,0.28,1.00,0.00,1.00,1.00,0.00,0.00,34.00,25.00,20.00,10.00,4.00,11.00,48.00,22.90,37.00,331.00,60.00,18.10,141.00,129.00,61.00,30.00,5.00,0.00,25.00,32.00,62.00,66.00,15.00,0.00,419.00,22.00,137.00,179.00,138.00,39.00,415.00,22.00,34.00,64.70,22.00,2.00,280.00,1547.00,957.00,37.00,13.00,6.00,20.00,22.00,317.00,211.00,66.60,32.00,0.00,0.00,0.00,15.00,23.00,0.00,10.00,1.00,1.00,0.00,80.00,13.00,25.00,34.20,978.00
Giovani Lo Celso,0.535135,0.6528941,0.767336148,1.00000051,ar ARG,MF,Tottenham,24.00,1996.00,10.50,1.00,15.00,5.00,33.30,1.43,0.48,0.07,0.20,17.80,1.00,0.00,0.00,1.20,1.20,0.08,-0.20,-0.20,465.00,589.00,78.90,8364.00,2205.00,223.00,251.00,88.80,170.00,206.00,82.50,62.00,101.00,61.40,1.00,1.30,-0.30,14.00,44.00,11.00,0.00,58.00,535.00,54.00,22.00,2.00,108.00,16.00,3.00,26.00,19.00,1.00,6.00,418.00,74.00,97.00,519.00,46.00,8.00,1.00,6.00,2.00,4.00,22.00,17.00,30.00,2.86,21.00,3.00,0.00,1.00,4.00,1.00,3.00,0.29,3.00,0.00,0.00,0.00,0.00,0.00,33.00,23.00,16.00,11.00,6.00,10.00,31.00,32.30,21.00,290.00,91.00,31.40,94.00,148.00,48.00,11.00,1.00,0.00,10.00,8.00,19.00,41.00,9.00,0.00,714.00,16.00,125.00,389.00,251.00,25.00,663.00,14.00,19.00,73.70,14.00,2.00,483.00,2595.00,1456.00,59.00,23.00,6.00,11.00,25.00,584.00,488.00,83.60,38.00,5.00,0.00,0.00,24.00,21.00,0.00,3.00,0.00,0.00,0.00,105.00,11.00,18.00,37.90,945.00
Granit Xhaka,0.20843544,0.4947346,0.63313994,0.79425935,ch SUI,CDM,Arsenal,27.00,1992.00,28.00,1.00,21.00,6.00,28.60,0.75,0.21,0.05,0.17,25.80,7.00,0.00,0.00,0.80,0.80,0.04,0.20,0.20,1945.00,2164.00,89.90,39353.00,10257.00,702.00,767.00,91.50,912.00,975.00,93.50,310.00,374.00,82.90,2.00,1.60,0.40,18.00,268.00,29.00,1.00,213.00,2072.00,92.00,56.00,4.00,233.00,71.00,6.00,0.00,0.00,0.00,0.00,1666.00,240.00,258.00,1724.00,276.00,92.00,35.00,6.00,2.00,18.00,39.00,25.00,40.00,1.43,36.00,0.00,0.00,2.00,2.00,0.00,3.00,0.11,3.00,0.00,0.00,0.00,0.00,0.00,58.00,37.00,23.00,22.00,13.00,33.00,64.00,51.60,31.00,346.00,96.00,27.70,108.00,161.00,77.00,33.00,7.00,0.00,26.00,25.00,58.00,83.00,55.00,1.00,2397.00,104.00,615.00,1537.00,407.00,12.00,2312.00,10.00,19.00,52.60,11.00,2.00,1723.00,8754.00,4786.00,159.00,40.00,0.00,7.00,19.00,1881.00,1795.00,95.40,26.00,7.00,1.00,0.00,47.00,43.00,1.00,6.00,0.00,0.00,0.00,317.00,46.00,33.00,58.20,2522.00
Conor Gallagher,0.23625786,0.33284944,0.402732322,0.816655937,eng ENG,MF,West Brom,20.00,2000.00,28.10,2.00,29.00,7.00,24.10,1.03,0.25,0.07,0.29,20.70,0.00,0.00,0.00,1.80,1.80,0.06,0.20,0.20,742.00,953.00,77.90,13360.00,3015.00,338.00,401.00,84.30,284.00,321.00,88.50,97.00,177.00,54.80,2.00,1.60,0.40,18.00,76.00,15.00,2.00,54.00,901.00,52.00,15.00,0.00,180.00,28.00,32.00,25.00,13.00,3.00,4.00,648.00,116.00,189.00,94.00,786.00,48.00,2.00,4.00,2.00,14.00,32.00,28.00,41.00,1.46,24.00,7.00,3.00,1.00,5.00,1.00,3.00,0.11,2.00,1.00,0.00,0.00,0.00,0.00,82.00,53.00,31.00,40.00,11.00,22.00,97.00,22.70,75.00,708.00,180.00,25.40,232.00,344.00,132.00,63.00,8.00,0.00,55.00,39.00,102.00,121.00,30.00,1.00,1331.00,67.00,307.00,698.00,418.00,44.00,1284.00,37.00,59.00,62.70,39.00,2.00,892.00,4635.00,1942.00,80.00,26.00,9.00,42.00,45.00,914.00,777.00,85.00,69.00,11.00,0.00,0.00,63.00,75.00,0.00,32.00,0.00,0.00,0.00,271.00,24.00,37.00,39.30,2531.00
Georginio Wijnaldum,0.2493172,0.38283574,0.666507155,0.68573565,nl NED,MF,Liverpool,29.00,1990.00,32.70,2.00,31.00,9.00,29.00,0.95,0.28,0.06,0.22,16.90,1.00,0.00,0.00,3.20,3.20,0.10,-1.20,-1.20,1630.00,1747.00,93.30,28047.00,5426.00,780.00,824.00,94.70,663.00,699.00,94.80,153.00,171.00,89.50,0.00,1.70,-1.70,22.00,140.00,21.00,1.00,93.00,1710.00,37.00,22.00,1.00,264.00,25.00,4.00,0.00,0.00,0.00,0.00,1476.00,142.00,129.00,126.00,1529.00,42.00,14.00,8.00,1.00,12.00,25.00,12.00,53.00,1.62,46.00,0.00,2.00,2.00,3.00,0.00,2.00,0.06,1.00,0.00,0.00,1.00,0.00,0.00,30.00,24.00,9.00,16.00,5.00,9.00,34.00,26.50,25.00,425.00,154.00,36.20,122.00,215.00,88.00,37.00,3.00,0.00,34.00,25.00,62.00,55.00,24.00,1.00,1983.00,40.00,339.00,1285.00,540.00,47.00,1949.00,34.00,51.00,66.70,36.00,2.00,1516.00,8574.00,4054.00,173.00,73.00,6.00,24.00,26.00,1666.00,1505.00,90.30,80.00,1.00,0.00,0.00,19.00,34.00,0.00,4.00,0.00,0.00,0.00,295.00,37.00,50.00,42.50,2941.00
Robbie Brady,0.387315,0.33362715,0.469569182,0.6752524,ie IRL,MF,Burnley,28.00,1992.00,11.70,1.00,16.00,5.00,31.30,1.37,0.43,0.06,0.20,19.80,4.00,0.00,0.00,0.80,0.80,0.05,0.20,0.20,266.00,393.00,67.70,4703.00,1627.00,133.00,161.00,82.60,88.00,129.00,68.20,34.00,78.00,43.60,1.00,0.90,0.10,7.00,23.00,6.00,4.00,32.00,376.00,17.00,7.00,3.00,89.00,12.00,25.00,3.00,2.00,0.00,0.00,197.00,74.00,122.00,271.00,61.00,41.00,7.00,0.00,1.00,11.00,9.00,12.00,17.00,1.45,12.00,2.00,0.00,2.00,0.00,1.00,1.00,0.09,0.00,1.00,0.00,0.00,0.00,0.00,22.00,12.00,12.00,3.00,7.00,9.00,31.00,29.00,22.00,181.00,41.00,22.70,62.00,75.00,44.00,25.00,2.00,0.00,23.00,9.00,34.00,31.00,24.00,1.00,526.00,43.00,118.00,237.00,206.00,23.00,506.00,15.00,21.00,71.40,17.00,2.00,309.00,1877.00,874.00,48.00,12.00,5.00,16.00,11.00,385.00,299.00,77.70,30.00,3.00,0.00,0.00,24.00,10.00,2.00,25.00,0.00,0.00,0.00,110.00,21.00,20.00,51.20,1052.00
JaÃ¯ro Riedewald,0.1587388,0.22861405,0.28781586,0.6512488,nl NED,MF,Crystal Palace,23.00,1996.00,20.20,2.00,8.00,2.00,25.00,0.40,0.10,0.25,1.00,19.60,0.00,0.00,0.00,0.70,0.70,0.08,1.30,1.30,533.00,628.00,84.90,9123.00,2310.00,251.00,283.00,88.70,214.00,245.00,87.30,55.00,76.00,72.40,0.00,1.00,-1.00,11.00,46.00,8.00,0.00,42.00,617.00,11.00,7.00,0.00,96.00,7.00,5.00,0.00,0.00,0.00,0.00,478.00,75.00,75.00,502.00,82.00,31.00,2.00,3.00,2.00,8.00,18.00,6.00,19.00,0.94,18.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,21.00,15.00,15.00,3.00,13.00,37.00,35.10,24.00,297.00,85.00,28.60,114.00,148.00,35.00,46.00,7.00,0.00,39.00,24.00,70.00,57.00,29.00,0.00,807.00,44.00,222.00,474.00,160.00,15.00,798.00,12.00,22.00,54.50,14.00,2.00,480.00,2399.00,1155.00,41.00,13.00,4.00,16.00,11.00,550.00,477.00,86.70,30.00,4.00,0.00,0.00,25.00,9.00,0.00,5.00,0.00,0.00,0.00,160.00,14.00,15.00,48.30,1820.00
Stuart Armstrong,0.9456526,0.69766958,0.800120224,0.66961348,sct SCO,MF,Southampton,28.00,1992.00,30.70,4.00,54.00,12.00,22.20,1.76,0.39,0.07,0.33,20.80,0.00,0.00,0.00,3.00,3.00,0.05,1.00,1.00,1002.00,1258.00,79.70,16614.00,4712.00,515.00,604.00,85.30,383.00,444.00,86.30,85.00,127.00,66.90,5.00,2.70,2.30,34.00,90.00,40.00,5.00,116.00,1181.00,77.00,14.00,7.00,268.00,19.00,26.00,1.00,0.00,0.00,0.00,961.00,172.00,125.00,229.00,965.00,39.00,16.00,3.00,2.00,12.00,44.00,65.00,82.00,2.67,58.00,3.00,6.00,5.00,6.00,4.00,15.00,0.49,7.00,0.00,2.00,3.00,2.00,1.00,70.00,41.00,27.00,30.00,13.00,30.00,80.00,37.50,50.00,490.00,142.00,29.00,166.00,215.00,109.00,30.00,1.00,0.00,29.00,31.00,61.00,101.00,21.00,1.00,1664.00,48.00,285.00,971.00,577.00,66.00,1591.00,56.00,98.00,57.10,59.00,1.00,1159.00,7421.00,4290.00,187.00,75.00,11.00,53.00,70.00,1380.00,1135.00,82.20,116.00,3.00,0.00,0.00,37.00,39.00,4.00,26.00,0.00,0.00,0.00,270.00,8.00,23.00,25.80,2764.00
John McGinn,0.62791888,0.66809236,0.385765049,0.637346,sct SCO,MF,Aston Villa,25.00,1994.00,37.00,3.00,46.00,11.00,23.90,1.24,0.30,0.07,0.27,22.10,0.00,0.00,0.00,2.20,2.20,0.05,0.80,0.80,1080.00,1398.00,77.30,23733.00,7706.00,360.00,418.00,86.10,466.00,569.00,81.90,227.00,349.00,65.00,5.00,3.00,2.00,40.00,179.00,44.00,6.00,179.00,1326.00,72.00,37.00,8.00,252.00,86.00,30.00,10.00,2.00,5.00,0.00,901.00,165.00,332.00,1069.00,250.00,46.00,6.00,2.00,14.00,27.00,54.00,33.00,100.00,2.70,82.00,2.00,3.00,2.00,9.00,2.00,12.00,0.32,8.00,1.00,1.00,1.00,1.00,0.00,74.00,46.00,24.00,38.00,12.00,23.00,77.00,29.90,54.00,649.00,168.00,25.90,206.00,330.00,113.00,39.00,5.00,0.00,34.00,45.00,84.00,119.00,30.00,2.00,1774.00,71.00,340.00,1026.00,525.00,58.00,1714.00,56.00,75.00,74.70,57.00,1.00,1212.00,5366.00,2906.00,124.00,42.00,3.00,37.00,58.00,1358.00,1182.00,87.00,105.00,12.00,0.00,0.00,56.00,94.00,2.00,30.00,1.00,0.00,0.00,304.00,27.00,50.00,35.10,3330.00
Ä°lkay GÃ¼ndoÄan,1.0000006,0.89255467,0.9999994,0.5315024,de GER,MF,Manchester City,29.00,1990.00,22.50,13.00,52.00,21.00,40.40,2.31,0.93,0.23,0.57,16.50,4.00,1.00,2.00,9.00,7.50,0.14,4.00,4.50,1553.00,1707.00,91.00,26232.00,4924.00,786.00,832.00,94.50,603.00,648.00,93.10,138.00,181.00,76.20,2.00,4.50,-2.50,42.00,140.00,35.00,2.00,118.00,1654.00,53.00,27.00,4.00,192.00,34.00,19.00,20.00,4.00,6.00,1.00,1425.00,146.00,136.00,504.00,1159.00,26.00,3.00,6.00,5.00,12.00,25.00,16.00,82.00,3.64,61.00,4.00,8.00,5.00,2.00,2.00,10.00,0.44,3.00,1.00,3.00,1.00,1.00,1.00,25.00,18.00,9.00,10.00,6.00,8.00,37.00,21.60,29.00,215.00,65.00,30.20,46.00,102.00,67.00,15.00,4.00,0.00,11.00,19.00,34.00,44.00,14.00,0.00,1908.00,26.00,237.00,1091.00,728.00,92.00,1854.00,29.00,42.00,69.00,32.00,1.00,1367.00,7023.00,3676.00,175.00,65.00,15.00,21.00,14.00,1741.00,1583.00,90.90,115.00,1.00,0.00,0.00,14.00,28.00,1.00,19.00,1.00,0.00,0.00,170.00,14.00,16.00,46.70,2029.00
Rodri,0.4906426,0.5422532,0.78524354,1.00000086,es ESP,CDM,Manchester City,24.00,1996.00,30.50,2.00,31.00,7.00,22.60,1.02,0.23,0.03,0.14,19.40,0.00,1.00,1.00,2.50,1.70,0.06,-0.50,-0.70,2495.00,2728.00,91.50,50166.00,10296.00,938.00,998.00,94.00,1102.00,1180.00,93.40,427.00,495.00,86.30,2.00,1.70,0.30,27.00,239.00,17.00,1.00,156.00,2689.00,39.00,38.00,3.00,404.00,97.00,12.00,0.00,0.00,0.00,0.00,2136.00,222.00,370.00,429.00,2146.00,84.00,1.00,9.00,0.00,16.00,35.00,22.00,73.00,2.39,58.00,1.00,6.00,3.00,1.00,4.00,8.00,0.26,6.00,0.00,1.00,0.00,0.00,1.00,83.00,60.00,32.00,38.00,13.00,31.00,72.00,43.10,41.00,514.00,196.00,38.10,169.00,272.00,73.00,42.00,13.00,0.00,29.00,40.00,82.00,123.00,73.00,2.00,3023.00,114.00,635.00,1985.00,561.00,52.00,2993.00,29.00,35.00,82.90,29.00,1.00,2146.00,9800.00,4860.00,192.00,47.00,10.00,18.00,22.00,2375.00,2315.00,97.50,38.00,6.00,0.00,0.00,57.00,38.00,3.00,12.00,0.00,0.00,0.00,417.00,91.00,28.00,76.50,2748.00
Jonjo Shelvey,0.5152082,0.53517568,0.277984553,0.603512024,eng ENG,MF,Newcastle Utd,28.00,1992.00,29.10,1.00,42.00,9.00,21.40,1.44,0.31,0.02,0.11,23.20,11.00,0.00,0.00,2.50,2.50,0.06,-1.50,-1.50,1047.00,1418.00,73.80,25957.00,7702.00,316.00,366.00,86.30,433.00,522.00,83.00,291.00,504.00,57.70,3.00,2.70,0.30,38.00,132.00,23.00,5.00,110.00,1275.00,143.00,83.00,6.00,211.00,137.00,37.00,47.00,17.00,16.00,7.00,776.00,170.00,472.00,157.00,1175.00,59.00,1.00,6.00,2.00,30.00,30.00,22.00,66.00,2.27,37.00,25.00,0.00,2.00,1.00,1.00,8.00,0.28,5.00,3.00,0.00,0.00,0.00,0.00,48.00,25.00,26.00,18.00,4.00,12.00,51.00,23.50,39.00,387.00,76.00,19.60,165.00,170.00,52.00,35.00,12.00,1.00,23.00,43.00,78.00,91.00,67.00,0.00,1672.00,86.00,525.00,893.00,343.00,23.00,1520.00,23.00,29.00,79.30,25.00,1.00,978.00,4791.00,2117.00,71.00,24.00,1.00,7.00,12.00,1113.00,1055.00,94.80,26.00,7.00,0.00,0.00,40.00,11.00,0.00,37.00,0.00,0.00,0.00,244.00,34.00,26.00,56.70,2617.00
Gylfi SigurÃ°sson,0.5088472,0.7141855,0.208153931,0.60065329,is ISL,MF,Everton,30.00,1989.00,25.00,6.00,45.00,12.00,26.70,1.80,0.48,0.07,0.25,21.30,7.00,3.00,4.00,6.80,3.70,0.08,-0.80,-0.70,749.00,947.00,79.10,13596.00,3452.00,328.00,381.00,86.10,298.00,335.00,89.00,100.00,184.00,54.30,5.00,5.00,0.00,45.00,52.00,22.00,5.00,62.00,822.00,125.00,37.00,3.00,154.00,35.00,31.00,58.00,32.00,20.00,5.00,682.00,104.00,161.00,183.00,729.00,24.00,3.00,1.00,5.00,8.00,20.00,25.00,67.00,2.68,37.00,23.00,0.00,6.00,1.00,0.00,6.00,0.24,3.00,2.00,0.00,1.00,0.00,0.00,35.00,21.00,10.00,18.00,7.00,11.00,39.00,28.20,28.00,476.00,114.00,23.90,120.00,244.00,112.00,48.00,4.00,0.00,44.00,31.00,79.00,66.00,21.00,0.00,1226.00,33.00,216.00,601.00,452.00,49.00,1095.00,15.00,26.00,57.70,16.00,1.00,690.00,2584.00,1062.00,56.00,17.00,3.00,31.00,36.00,965.00,752.00,77.90,86.00,2.00,0.00,0.00,31.00,22.00,0.00,31.00,0.00,0.00,0.00,176.00,8.00,12.00,40.00,2253.00
Leander Dendoncker,0.4040122,0.35067336,0.283095084,0.69264034,be BEL,CDM,Wolves,25.00,1995.00,27.80,1.00,32.00,8.00,25.00,1.15,0.29,0.03,0.13,13.50,0.00,0.00,0.00,3.30,3.30,0.10,-2.30,-2.30,1021.00,1162.00,87.90,19322.00,4299.00,405.00,447.00,90.60,449.00,500.00,89.80,141.00,169.00,83.40,0.00,0.70,-0.70,16.00,64.00,8.00,2.00,62.00,1140.00,22.00,21.00,0.00,169.00,31.00,8.00,1.00,0.00,1.00,0.00,863.00,145.00,154.00,188.00,855.00,61.00,0.00,6.00,0.00,9.00,19.00,15.00,43.00,1.55,36.00,1.00,1.00,3.00,1.00,1.00,6.00,0.22,4.00,0.00,0.00,2.00,0.00,0.00,49.00,29.00,31.00,15.00,3.00,23.00,61.00,37.70,38.00,494.00,149.00,30.20,223.00,224.00,47.00,59.00,15.00,0.00,44.00,27.00,86.00,76.00,75.00,0.00,1444.00,104.00,447.00,823.00,243.00,59.00,1424.00,11.00,16.00,68.80,11.00,1.00,771.00,3806.00,1886.00,62.00,13.00,2.00,19.00,9.00,1094.00,949.00,86.70,51.00,4.00,0.00,0.00,37.00,15.00,4.00,8.00,0.00,0.00,1.00,232.00,83.00,51.00,61.90,2503.00
TomÃ¡Å¡ SouÄek,0.5481215,0.26866185,0.277864598,0.861161888,cz CZE,MF,West Ham,25.00,1995.00,38.00,10.00,64.00,23.00,35.90,1.68,0.61,0.16,0.43,11.40,0.00,0.00,0.00,9.20,9.20,0.15,0.80,0.80,1184.00,1539.00,76.90,21845.00,5546.00,525.00,667.00,78.70,467.00,598.00,78.10,164.00,216.00,75.90,1.00,1.50,-0.50,16.00,102.00,11.00,2.00,103.00,1512.00,27.00,22.00,1.00,373.00,39.00,10.00,3.00,1.00,2.00,0.00,928.00,229.00,382.00,152.00,1066.00,151.00,1.00,12.00,1.00,31.00,33.00,24.00,45.00,1.18,31.00,2.00,1.00,7.00,4.00,0.00,5.00,0.13,3.00,0.00,0.00,2.00,0.00,0.00,83.00,50.00,41.00,34.00,8.00,25.00,86.00,29.10,61.00,603.00,163.00,27.00,221.00,291.00,91.00,56.00,21.00,0.00,35.00,55.00,111.00,138.00,145.00,1.00,2020.00,174.00,595.00,1101.00,430.00,102.00,1997.00,16.00,26.00,61.50,17.00,1.00,947.00,4799.00,2040.00,84.00,35.00,3.00,34.00,24.00,1426.00,1154.00,80.90,63.00,7.00,1.00,0.00,88.00,50.00,3.00,10.00,0.00,1.00,1.00,463.00,228.00,134.00,63.00,3419.00
Fred,0.352613,0.57223924,0.523432578,0.97314378,br BRA,MF,Manchester Utd,27.00,1993.00,26.60,1.00,25.00,7.00,28.00,0.94,0.26,0.04,0.14,22.10,0.00,0.00,0.00,1.90,1.90,0.08,-0.90,-0.90,1555.00,1763.00,88.20,30912.00,7561.00,570.00,625.00,91.20,708.00,765.00,92.50,250.00,306.00,81.70,0.00,2.50,-2.50,24.00,174.00,18.00,0.00,149.00,1704.00,59.00,51.00,6.00,242.00,57.00,7.00,0.00,0.00,0.00,0.00,1424.00,179.00,160.00,1231.00,493.00,21.00,7.00,4.00,3.00,21.00,44.00,41.00,67.00,2.52,58.00,1.00,2.00,1.00,2.00,3.00,5.00,0.19,4.00,0.00,0.00,0.00,0.00,1.00,88.00,55.00,37.00,41.00,10.00,30.00,87.00,34.50,57.00,639.00,200.00,31.30,228.00,300.00,111.00,62.00,9.00,0.00,53.00,47.00,109.00,135.00,33.00,0.00,2092.00,77.00,532.00,1248.00,454.00,17.00,2044.00,24.00,32.00,75.00,29.00,1.00,1387.00,6574.00,3168.00,116.00,40.00,2.00,25.00,34.00,1560.00,1468.00,94.10,28.00,5.00,0.00,0.00,67.00,41.00,1.00,7.00,0.00,0.00,0.00,311.00,10.00,14.00,41.70,2390.00
