Player,b,xe,xe rank,creativity,creativity cross,xe rank,drib,drib cross,xe rank,def,def xe,xe rank,Nation,Pos,Squad,Age,Born,90sâ¼,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Passing Cmp,Passing Att,Passing Cmp%,Passing TotDist,Passing PrgDist,Short Passing Cmp,Short Passing Att,Short Passing Cmp%,Medium Passing Cmp,Medium Passing Att,Medium Passing Cmp%,Long Passing Cmp,Long Passing Att,Long Passing Cmp%,Assists,xA,A-xA,KP,Final Third Passes,PPA,CrsPA,Progressive Passes,Live Passes,Dead Passes,FK Passes,TB Passes,Press Passes,Sw Passes,Crs Passes,CK Passes,CK Inswinging,CK Outswinging,CK Straight,Ground Passes,Low Passes,High Passes,Left Footed Passes,Right Footed Passes,Head Passes,Throw in Passes,Other Passes,Offside Passes,Out Passes,Intercepted Passes,Blocked Passes,SCA,SCA90,SCA PassLive,SCA PassDead,SCA Drib,SCA Sh,SCA Fld,SCA Def,GCA,GCA90,GCA PassLive,GCA PassDead,GCA Drib,GCA Sh,GCA Fld,GCA Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,vs Dribble TklW,vs Dribble Tkl Att,vs Dribble Tkl%,vs Dribble Past,Pressures Total,Pressures Succ,Pressures Succesful%,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks,Blocked Shots,Blcoked SOT,Blocked Pass,Int,Blocks and Interceptions,Tkl+Int,Clearances,Mistake To Goal,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Megs,Carries,Carry TotDist,Carry PrgDist,Carry Prog,Carries Final Third,Carry into box,Miscontrol,Displaced,Receiving Pass Target,Receiving Pass Rec,Rec%,Proggresive Passes Received,CrdY,CrdR,2CrdY,Fls,Fld,Offsides,Crosses Attempted,PKwon,PKcon,OG,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Minutes Played
Riyad Mahrez,0.945,0.144,20.000,1.000,0.470,1.000,1.000,0.460,11.000,0.829,0.150,38.000,dz ALG,Winger,Manchester City,29.00,1991.00,21.70,0.00462,0.02976,0.01129,0.01945,0.00138,0.00052,0.00008,0.00021,0.00847,0.00154,0.00000,0.00000,0.00287,0.00287,0.00005,0.00174,0.00174,0.46896,0.55721,0.04320,7.67111,1.60852,0.25192,0.27450,0.04710,0.17394,0.20010,0.04459,0.03489,0.05798,0.03089,0.00308,0.00303,0.00005,0.02104,0.01796,0.02668,0.00308,0.04515,0.52335,0.03386,0.00564,0.00410,0.08158,0.01437,0.03079,0.02104,0.01077,0.00000,0.00103,0.42945,0.05233,0.07542,0.49923,0.03746,0.00667,0.00513,0.00103,0.00051,0.00667,0.00718,0.01437,0.04310,0.00199,0.02976,0.00359,0.00257,0.00410,0.00154,0.00154,0.00718,0.00033,0.00462,0.00051,0.00103,0.00051,0.00000,0.00051,0.01026,0.00770,0.00154,0.00462,0.00410,0.00410,0.01796,0.01175,0.01385,0.12930,0.03027,0.01201,0.01334,0.05747,0.05849,0.01231,0.00051,0.00000,0.01180,0.00308,0.01539,0.01334,0.00154,0.00000,0.68343,0.00308,0.03540,0.24936,0.44946,0.08004,0.65059,0.01847,0.03797,0.02494,0.02001,0.00000,0.53617,2.80862,1.55977,0.10364,0.02309,0.02463,0.01693,0.01796,0.66239,0.55208,0.04274,0.08928,0.00000,0.00000,0.00000,0.00924,0.01898,0.00359,0.03079,0.00000,0.00000,0.00000,0.06311,0.00770,0.00924,0.02335,1.00000
Roberto Firmino,0.434,0.104,34.000,1.000,0.360,7.000,0.527,0.310,23.000,0.999,0.280,3.000,kr KOR,FW,Tottenham,28.00,1992.00,34.60,0.00872,0.03489,0.01796,0.02642,0.00101,0.00052,0.00012,0.00024,0.00872,0.00051,0.00051,0.00051,0.00528,0.00487,0.00007,0.00344,0.00334,0.47204,0.61519,0.03935,7.49410,1.66444,0.26526,0.30580,0.04448,0.14007,0.17650,0.04074,0.04515,0.09697,0.02391,0.00513,0.00457,0.00056,0.03951,0.01642,0.01488,0.00103,0.03284,0.53822,0.07696,0.01898,0.00154,0.10518,0.02565,0.02771,0.04977,0.02360,0.01847,0.00513,0.41919,0.09236,0.10364,0.08722,0.48332,0.02463,0.00513,0.00308,0.00257,0.00564,0.01488,0.01591,0.06003,0.00173,0.03797,0.01437,0.00410,0.00051,0.00308,0.00000,0.00770,0.00022,0.00564,0.00103,0.00103,0.00000,0.00000,0.00000,0.01488,0.00872,0.00462,0.00770,0.00257,0.00667,0.03643,0.00939,0.02976,0.31657,0.07234,0.01175,0.06157,0.16367,0.09133,0.01744,0.00154,0.00000,0.01591,0.01180,0.02925,0.02668,0.00205,0.00000,0.78964,0.00667,0.08825,0.33710,0.41714,0.07337,0.71421,0.01950,0.03130,0.03197,0.01950,0.00257,0.53258,2.92612,1.50898,0.08261,0.02617,0.01693,0.02565,0.03284,0.87019,0.56798,0.03350,0.13802,0.00000,0.00000,0.00000,0.00821,0.03130,0.00821,0.02771,0.00000,0.00000,0.00000,0.08261,0.01231,0.03438,0.01355,1.59774
Son Heung-min,0.691,0.166,15.000,1.000,0.400,5.000,0.627,0.350,20.000,0.725,0.200,24.000,eng ENG,FW,Tottenham,27.00,1993.00,34.20,0.01180,0.06875,0.02411,0.01801,0.00201,0.00070,0.00007,0.00021,0.00908,0.00718,0.00205,0.00205,0.01052,0.00898,0.00007,0.00128,0.00077,0.33710,0.48076,0.03597,6.42329,1.96768,0.15393,0.19754,0.03997,0.12109,0.16213,0.03833,0.05233,0.08722,0.03079,0.00718,0.00380,0.00339,0.02463,0.05028,0.02104,0.00359,0.06414,0.45664,0.02411,0.00513,0.00616,0.12263,0.02771,0.01898,0.00000,0.00000,0.00000,0.00000,0.25808,0.11237,0.11031,0.06362,0.34479,0.03130,0.00410,0.00462,0.00410,0.00667,0.02052,0.02258,0.05798,0.00169,0.03592,0.00103,0.00924,0.00462,0.00616,0.00103,0.01283,0.00037,0.00770,0.00051,0.00308,0.00000,0.00154,0.00000,0.00924,0.00616,0.00154,0.00616,0.00154,0.00257,0.01026,0.01283,0.00770,0.20062,0.05080,0.01298,0.01077,0.09749,0.09236,0.01539,0.00667,0.00051,0.00872,0.00770,0.02309,0.01693,0.02104,0.00000,0.71626,0.02565,0.07286,0.37763,0.31606,0.08517,0.68805,0.02360,0.04053,0.02986,0.02411,0.00410,0.46024,2.36839,1.30169,0.07696,0.02719,0.01334,0.03130,0.03643,0.90354,0.54130,0.03073,0.11442,0.00051,0.00000,0.00000,0.01437,0.03592,0.00616,0.01898,0.00103,0.00000,0.00000,0.07953,0.04618,0.06619,0.02109,1.58132
Gareth Bale,1.000,0.358,1.000,1.000,0.460,2.000,1.000,0.570,5.000,1.000,0.190,29.000,de GER,FW,Chelsea,24.00,1996.00,28.90,0.00308,0.04105,0.01591,0.01991,0.00142,0.00055,0.00004,0.00010,0.00708,0.00000,0.00000,0.00000,0.00611,0.00611,0.00008,-0.00303,-0.00303,0.32735,0.42381,0.03961,4.93022,0.97178,0.17907,0.22011,0.04177,0.12314,0.14315,0.04413,0.01385,0.02719,0.02612,0.00410,0.00313,0.00097,0.01744,0.01591,0.01180,0.00308,0.02873,0.40739,0.01642,0.00051,0.00205,0.06824,0.00564,0.02463,0.00051,0.00000,0.00000,0.00000,0.33350,0.05233,0.03797,0.07081,0.32632,0.01744,0.00308,0.00051,0.00205,0.00564,0.01180,0.02309,0.04361,0.00151,0.02873,0.00000,0.00308,0.00462,0.00667,0.00051,0.00975,0.00034,0.00513,0.00000,0.00154,0.00051,0.00205,0.00051,0.01437,0.00924,0.00462,0.00718,0.00257,0.00513,0.02155,0.01221,0.01642,0.19497,0.05695,0.01498,0.03489,0.07953,0.08055,0.01231,0.00051,0.00000,0.01180,0.00308,0.01539,0.01744,0.00205,0.00000,0.60339,0.00308,0.04823,0.24628,0.35403,0.10364,0.58697,0.01539,0.04053,0.01950,0.01796,0.00154,0.41560,2.65931,1.61775,0.07542,0.02463,0.02925,0.03951,0.02617,0.74141,0.47358,0.03279,0.13186,0.00103,0.00000,0.00000,0.01642,0.01847,0.01334,0.02463,0.00257,0.00000,0.00000,0.07388,0.00667,0.02104,0.01237,1.33504
Sadio ManÃ©,0.554,0.126,25.000,0.987,0.460,2.000,0.832,0.370,18.000,0.908,0.270,4.000,br BRA,FW,Liverpool,28.00,1991.00,31.50,0.00462,0.04259,0.01642,0.01981,0.00135,0.00052,0.00006,0.00014,0.00708,0.00000,0.00000,0.00000,0.00646,0.00646,0.00008,-0.00185,-0.00185,0.53515,0.67111,0.04089,8.05798,2.02309,0.30375,0.35505,0.04387,0.17804,0.22114,0.04130,0.03284,0.04669,0.03607,0.00359,0.00328,0.00031,0.02360,0.04361,0.02206,0.00000,0.06875,0.64956,0.02155,0.00154,0.00410,0.14726,0.00462,0.01642,0.00103,0.00000,0.00000,0.00000,0.52335,0.09646,0.05131,0.08312,0.54695,0.02001,0.00770,0.00616,0.00103,0.00257,0.03232,0.02514,0.05490,0.00174,0.04105,0.00000,0.00616,0.00462,0.00257,0.00051,0.00462,0.00015,0.00410,0.00000,0.00000,0.00051,0.00000,0.00000,0.01796,0.01129,0.00205,0.00718,0.00872,0.00616,0.01950,0.01621,0.01334,0.30580,0.08979,0.01508,0.03746,0.14315,0.12519,0.02976,0.00257,0.00000,0.02719,0.00513,0.03489,0.02309,0.00564,0.00000,0.85942,0.00821,0.06670,0.39867,0.44074,0.11134,0.83838,0.02565,0.03746,0.03515,0.02719,0.00257,0.60339,2.74654,1.44536,0.08620,0.01950,0.01642,0.03027,0.02719,0.92919,0.65880,0.03638,0.15854,0.00103,0.00000,0.00000,0.01180,0.01591,0.00205,0.01642,0.00000,0.00000,0.00000,0.10467,0.01283,0.04464,0.01144,1.45613
Mohamed Salah,0.714,0.218,5.000,0.978,0.410,4.000,0.717,0.230,31.000,0.843,0.220,18.000,sct SCO,FW,Southampton,24.00,1996.00,29.60,0.00462,0.02873,0.01591,0.02842,0.00097,0.00054,0.00008,0.00015,0.00672,0.00000,0.00000,0.00000,0.00446,0.00446,0.00008,0.00015,0.00015,0.22730,0.32478,0.03592,3.77578,0.83787,0.11647,0.15495,0.03858,0.07337,0.09441,0.03987,0.02617,0.03746,0.03586,0.00257,0.00298,-0.00041,0.01744,0.01385,0.01283,0.00103,0.03130,0.31862,0.00616,0.00051,0.00410,0.09030,0.00718,0.00667,0.00000,0.00000,0.00000,0.00000,0.20421,0.06414,0.05644,0.02001,0.25654,0.01847,0.00000,0.01231,0.00308,0.00462,0.01437,0.01693,0.03386,0.00114,0.02463,0.00000,0.00051,0.00308,0.00410,0.00154,0.00410,0.00014,0.00359,0.00000,0.00000,0.00000,0.00051,0.00000,0.01539,0.00872,0.00257,0.00667,0.00616,0.00308,0.01180,0.01339,0.00872,0.22063,0.07081,0.01647,0.02463,0.08312,0.11288,0.01334,0.00205,0.00000,0.01129,0.00564,0.01898,0.02104,0.00821,0.00051,0.50077,0.01129,0.05028,0.22781,0.25244,0.05644,0.49513,0.01283,0.02258,0.02914,0.01437,0.00000,0.32324,1.34787,0.59979,0.03438,0.01385,0.00513,0.03797,0.02668,0.75629,0.37660,0.02555,0.09697,0.00051,0.00000,0.00000,0.01642,0.03489,0.00975,0.00667,0.00000,0.00000,0.00000,0.06106,0.02411,0.07234,0.01283,1.36839
Adama TraorÃ©,0.279,0.029,50.000,0.935,0.400,5.000,1.000,0.710,1.000,0.814,0.200,24.000,wls WAL,FW,Tottenham,31.00,1989.00,10.20,0.00564,0.01950,0.00975,0.02565,0.00191,0.00095,0.00015,0.00030,0.00934,0.00359,0.00000,0.00000,0.00272,0.00272,0.00008,0.00292,0.00292,0.14572,0.20934,0.03571,2.85993,0.91226,0.07234,0.08722,0.04253,0.04156,0.05900,0.03612,0.02719,0.04874,0.02863,0.00103,0.00097,0.00005,0.01026,0.01180,0.00821,0.00308,0.01642,0.19292,0.01642,0.00462,0.00051,0.04669,0.01642,0.01488,0.00667,0.00513,0.00051,0.00051,0.11544,0.03899,0.05490,0.17034,0.01488,0.01026,0.00513,0.00205,0.00051,0.00359,0.00872,0.00924,0.02309,0.00226,0.01231,0.00359,0.00410,0.00154,0.00103,0.00051,0.00257,0.00025,0.00103,0.00051,0.00000,0.00103,0.00000,0.00000,0.00718,0.00462,0.00205,0.00308,0.00205,0.00205,0.00667,0.01580,0.00462,0.06414,0.01744,0.01396,0.01385,0.02771,0.02258,0.00821,0.00103,0.00000,0.00718,0.00462,0.01283,0.01180,0.00872,0.00000,0.28784,0.00924,0.04361,0.13905,0.12519,0.02360,0.26937,0.01488,0.02565,0.02976,0.01539,0.00103,0.19138,1.16060,0.58081,0.03232,0.00872,0.00564,0.01026,0.00564,0.27347,0.20215,0.03792,0.03643,0.00051,0.00000,0.00000,0.00564,0.00513,0.00257,0.01488,0.00000,0.00000,0.00000,0.03592,0.01129,0.00564,0.03422,0.47204
Harry Kane,1.000,0.227,4.000,0.886,0.340,9.000,1.000,0.710,1.000,0.668,0.140,45.000,eg EGY,Winger,Liverpool,28.00,1992.00,34.20,0.01129,0.06157,0.02360,0.01965,0.00180,0.00069,0.00007,0.00018,0.00811,0.00051,0.00308,0.00308,0.01072,0.00841,0.00007,0.00056,-0.00021,0.54951,0.66085,0.04269,8.32170,1.98923,0.32427,0.35711,0.04659,0.17547,0.20985,0.04289,0.03232,0.05131,0.03232,0.00257,0.00323,-0.00067,0.02771,0.03130,0.03797,0.00616,0.07029,0.64597,0.01488,0.00103,0.00410,0.11288,0.00770,0.02411,0.00000,0.00000,0.00000,0.00000,0.53925,0.06208,0.05952,0.52181,0.11647,0.01026,0.00257,0.00410,0.00205,0.00308,0.01796,0.02617,0.06003,0.00175,0.04464,0.00051,0.00308,0.00616,0.00359,0.00205,0.00718,0.00021,0.00513,0.00000,0.00000,0.00103,0.00103,0.00000,0.01334,0.00667,0.00308,0.00359,0.00667,0.00308,0.00821,0.01924,0.00513,0.28374,0.07850,0.01421,0.02309,0.08466,0.17599,0.00718,0.00051,0.00000,0.00667,0.00462,0.01180,0.01796,0.00564,0.00051,0.90200,0.00667,0.03592,0.31862,0.59620,0.16060,0.88456,0.02565,0.05028,0.02617,0.02873,0.00103,0.70139,3.24885,1.77527,0.11185,0.02668,0.02771,0.05900,0.04720,1.09646,0.74089,0.03468,0.21293,0.00000,0.00000,0.00000,0.01180,0.01642,0.00667,0.02411,0.00103,0.00000,0.00000,0.09800,0.01077,0.02668,0.01478,1.57927
Diogo Jota,0.705,0.258,2.000,0.876,0.280,18.000,0.953,0.420,15.000,1.000,0.310,1.000,es ESP,FW,Wolves,24.00,1996.00,29.40,0.00103,0.02206,0.00667,0.01550,0.00075,0.00023,0.00003,0.00008,0.00990,0.00000,0.00000,0.00000,0.00113,0.00113,0.00003,-0.00010,-0.00010,0.29708,0.45049,0.03381,4.85788,1.23653,0.15290,0.19702,0.03982,0.10826,0.16008,0.03468,0.02668,0.05285,0.02591,0.00103,0.00277,-0.00174,0.02873,0.02206,0.01334,0.00821,0.03232,0.43766,0.01283,0.00051,0.00103,0.11544,0.00924,0.06106,0.00000,0.00000,0.00000,0.00000,0.25962,0.08261,0.10826,0.04720,0.33402,0.01693,0.01180,0.00410,0.00103,0.01283,0.01231,0.03386,0.05798,0.00197,0.03797,0.00000,0.01077,0.00154,0.00667,0.00103,0.00308,0.00010,0.00154,0.00000,0.00051,0.00051,0.00051,0.00000,0.01642,0.01180,0.00770,0.00616,0.00257,0.00462,0.01026,0.02309,0.00564,0.17701,0.05490,0.01591,0.04002,0.09441,0.04259,0.01437,0.00103,0.00000,0.01334,0.00564,0.02001,0.02206,0.00821,0.00051,0.67573,0.01026,0.06824,0.34479,0.34941,0.06003,0.66342,0.08209,0.10980,0.03838,0.08876,0.00257,0.58645,4.40995,2.91380,0.15700,0.04413,0.03079,0.04310,0.04413,0.73833,0.52437,0.03643,0.07696,0.00205,0.00000,0.00000,0.02719,0.05336,0.00359,0.06106,0.00051,0.00000,0.00000,0.08312,0.04002,0.03848,0.02617,1.35916
Raheem Sterling,0.729,0.125,27.000,0.829,0.340,9.000,1.000,0.610,4.000,0.646,0.160,35.000,sn SEN,Winger,Liverpool,28.00,1992.00,31.20,0.00564,0.04772,0.01796,0.01929,0.00153,0.00057,0.00006,0.00016,0.00657,0.00000,0.00000,0.00000,0.00780,0.00780,0.00008,-0.00215,-0.00215,0.41149,0.54592,0.03869,6.93792,1.47665,0.20780,0.25757,0.04141,0.14726,0.18522,0.04079,0.04515,0.06362,0.03643,0.00359,0.00292,0.00067,0.02925,0.01898,0.03438,0.00513,0.05387,0.53822,0.00770,0.00103,0.00257,0.10877,0.01334,0.03232,0.00103,0.00000,0.00000,0.00000,0.38635,0.09492,0.06465,0.14366,0.36378,0.01283,0.00564,0.01129,0.00205,0.00616,0.01847,0.03181,0.06362,0.00204,0.04515,0.00051,0.00513,0.00462,0.00718,0.00103,0.00616,0.00019,0.00359,0.00000,0.00000,0.00154,0.00051,0.00051,0.02155,0.01642,0.00410,0.00924,0.00821,0.00462,0.01334,0.01775,0.00872,0.23961,0.08107,0.01734,0.03335,0.08568,0.12057,0.02001,0.00103,0.00000,0.01898,0.00770,0.02771,0.02925,0.00359,0.00000,0.81580,0.00821,0.05541,0.31042,0.52129,0.14520,0.80862,0.04310,0.07286,0.03037,0.04618,0.00308,0.61775,3.50641,1.97435,0.11442,0.03643,0.02771,0.05028,0.04207,0.99487,0.64905,0.03345,0.20369,0.00154,0.00000,0.00000,0.02925,0.04310,0.01591,0.03232,0.00051,0.00000,0.00000,0.08209,0.01437,0.04105,0.01329,1.44177
Marcus Rashford,0.760,0.123,29.000,0.802,0.350,8.000,0.920,0.570,5.000,0.641,0.120,49.000,ng NGA,FW,Leicester City,23.00,1996.00,16.20,0.00616,0.02976,0.01283,0.02211,0.00184,0.00079,0.00011,0.00025,0.00877,0.00051,0.00000,0.00051,0.00400,0.00359,0.00006,0.00215,0.00257,0.20523,0.25705,0.04094,2.99538,0.47409,0.12724,0.14520,0.04495,0.05798,0.06978,0.04264,0.01488,0.02514,0.03037,0.00103,0.00149,-0.00046,0.01283,0.01077,0.01129,0.00257,0.01488,0.24525,0.01180,0.00000,0.00103,0.06208,0.00410,0.00616,0.00051,0.00000,0.00000,0.00000,0.20010,0.03694,0.02001,0.23345,0.01385,0.00564,0.00000,0.00103,0.00154,0.00257,0.01283,0.01026,0.02258,0.00139,0.01847,0.00000,0.00308,0.00051,0.00000,0.00051,0.00154,0.00010,0.00103,0.00000,0.00051,0.00000,0.00000,0.00000,0.00616,0.00462,0.00154,0.00308,0.00154,0.00154,0.00770,0.01026,0.00616,0.12468,0.02771,0.01139,0.00924,0.06516,0.05028,0.00975,0.00154,0.00000,0.00821,0.00205,0.01180,0.00821,0.00051,0.00000,0.37352,0.00154,0.01950,0.16573,0.21447,0.04156,0.36121,0.01488,0.02514,0.03037,0.01693,0.00103,0.27912,1.19395,0.59210,0.02925,0.01283,0.00410,0.02925,0.01796,0.49153,0.29708,0.03099,0.08209,0.00051,0.00000,0.00000,0.01488,0.00770,0.00462,0.00616,0.00000,0.00051,0.00000,0.03643,0.00462,0.02206,0.00888,0.74859
